lemma,collocate,LogL,LR,MI,LogDice
scio,an2,108.33,7.72727836586609,5.51637651929303,11.2641351107149
scio,certe,86.45,5.64196311895641,4.34090117586876,11.1550906161806
scio,haud,52.54,6.27010979873736,4.72548705396014,10.7419034619785
scio,uolo,39.87,3.21617099162656,2.74042045703868,10.3650488879116
scio,ut,71.43,2.60442504804222,2.32307593579965,10.2109083954815
scio,cupio,15.58,4.19831911566935,3.40256230677284,9.93525590755419
scio,enim,17.3,2.28625953873069,2.10505737575684,9.82142570375015
scio,possum,22.03,2.10427987538061,1.98012980044512,9.79998247093803
scio,quis,24.05,1.93645241126789,1.8647910642101,9.73415611961603
scio,nemo,8.3,2.73000153380047,2.40896445312232,9.60555084532756
scio,nihil,9.31,2.05917936776722,1.94914598210181,9.58288204551485
scio,Roma,7.41,3.06039120743603,2.63441747428519,9.51511597988641
scio,qua,8.6,1.68623818278719,1.69263553905597,9.45788794997905
scio,iudex,5.51,2.52141491198905,2.26624815092072,9.37994120151816
scio,tu,9.85,1.40792881508051,1.50091320797731,9.37118304429183
scio,qui,15.73,1.0902181134122,1.28179689386371,9.24088323664479
scio,si,5.41,1.21027424900671,1.36462445608997,9.20752071570691
