lemma,collocate,LogL,LR,MI,LogDice
sententia,rogo,41.23,5.71102427703649,4.48891420852453,10.8738662268304
sententia,dico,67.64,3.54650126708127,3.04074656773299,10.379910515881
sententia,permaneo,20.49,6.43204832733368,4.94714935261276,10.3069625357374
sententia,meus,30.62,3.31347020589159,2.88151746026229,10.1335450824814
sententia,primus,13.65,3.81281592452778,3.22222990151056,10.0179846227518
sententia,fero,15.88,3.20175070791188,2.80505684597126,9.92529141229476
sententia,sequor,8.87,3.45300794596932,2.97690710289792,9.75150475795064
sententia,idem,9.59,2.59100418142049,2.38592043526513,9.57156699251196
sententia,quidem,6.01,2.21885061742567,2.12978096055011,9.32367261969558
sententia,iste,5.22,2.03379794880118,2.00225675583818,9.22614244849376
sententia,is,5.74,1.12861881349571,1.37737384928304,8.80450008913332
