lemma,collocate,LogL,LR,MI,LogDice
socius,classis,19.5,6.15298239301546,4.82943861046807,10.5714036441497
socius,iniuria,15.23,5.08119170994745,4.11724323493743,10.3152959172965
socius,salus,10.9,3.97978967773924,3.36903627719445,9.91402368744842
socius,populus,18.71,3.57786767825065,3.09370697270967,9.90149742762924
socius,fortuna,10.23,3.80769030506259,3.25125324153807,9.83851613494027
socius,urbs,8.3,3.29601702273862,2.90014934264879,9.59531534143353
socius,atque,26.62,2.70077510114608,2.49039606330406,9.44612310839946
socius,bellum,6.31,2.74810150877279,2.52301474116685,9.3071242335928
socius,romanus,6.16,2.70699630544312,2.49468423454063,9.28448175684304
socius,uos,5.76,2.59027269914143,2.41421188131805,9.21947692653405
socius,omnis,6.36,1.79184426912388,1.86297671921419,8.81028915242364
socius,que,10.01,1.73151862457718,1.82128381691552,8.79516947654543
