lemma,collocate,LogL,LR,MI,LogDice
spes,salus,53.68,4.95058829345397,4.01740484438804,10.9193418559474
spes,uictoria,25.3,5.08836277129257,4.10799404272555,10.4503826132196
spes,adduco,18.91,4.83354887226375,3.94011317008639,10.2417110945139
spes,praeda,17.35,5.64090379432135,4.46620626598317,10.1081797018894
spes,bonus,20.66,3.15172483229,2.80614836270256,10.0854801143733
spes,metus,14.82,4.04595720502757,3.41350367861914,10.0780266637187
spes,libertas,14.72,4.02619395020614,3.40017014774968,10.0730883820781
spes,magnus,27.3,2.74888647519436,2.53049161730853,9.99546793704724
spes,ullus,11.97,3.48439930864136,3.03295492177551,9.9203461531879
spes,praeter,11.31,4.09658327809754,3.4476366849886,9.8973566349632
spes,aliquis,12.31,2.70754098735164,2.50214679842218,9.78663859567259
spes,pax,8.77,3.42712450328961,2.99396947506256,9.73967030030364
spes,sine,8.52,2.77465518321018,2.54815307143083,9.66762327396994
spes,tum,6.76,2.38981593998444,2.28405194156795,9.50576137471919
spes,habeo,8.38,1.92993340868809,1.96765683979139,9.4223478429058
spes,meus,5.55,1.8438908164852,1.9083828294116,9.30498911001212
spes,etiam,6.09,1.74743371447515,1.84190935195104,9.29122083139289
spes,in,5.53,0.909784458090831,1.26375416794562,8.87989499749579
