lemma,collocate,LogL,LR,MI,LogDice
tuus,littera,152.88,4.82228314457789,3.70292300062748,11.1535062482759
tuus,epistula,99.09,5.29127768189136,3.98228861474148,10.7459602626741
tuus,clementia,70.95,7.67270678852738,5.11538707948076,10.1059146952585
tuus,animus,24.16,2.23599524639017,2.01726745574836,10.10372535154
tuus,fortuna,24.7,3.07577164614015,2.58169026552332,9.97643561983895
tuus,iste,17.47,1.98620626134416,1.84772109044312,9.95382079717849
tuus,amicus,21.04,2.76581619291886,2.37454705555556,9.92585814509542
tuus,ego,12.97,1.06883321621801,1.22084938839363,9.84791077606174
tuus,soror,32.81,4.86535186646978,3.72909271836087,9.81251210605867
tuus,familiaris,27.42,4.2512430200891,3.34772516183176,9.78470282736024
tuus,consilium,13.58,2.23530147622008,2.01679742048706,9.74754435673454
tuus,pater,12.88,2.32841088061156,2.07983331174009,9.68334556721227
tuus,patruus,33.46,6.53520326477745,4.64538345023502,9.52039303698725
tuus,scelus,11.73,2.63561746979216,2.28708775022697,9.51042773876295
tuus,auus,25.43,5.18727996135714,3.92146461100832,9.50130205852243
tuus,uita,7.43,1.80058161107954,1.72135818729721,9.48210096499962
tuus,pro,6.38,1.80234206894398,1.72255794748912,9.37584451410083
tuus,uirtus,5.34,1.62104466870489,1.59887885130761,9.33813447033536
tuus,corpus,6.99,2.13044873876046,1.94570149880333,9.295889866157
tuus,misericordia,19.28,4.97226707038629,3.79363123949844,9.28150112870491
tuus,reditus,17.78,4.67270678852738,3.61130968270448,9.27482702161721
tuus,hospes,15.48,4.21327516989008,3.3236276102527,9.26161097022569
tuus,humanitas,14.85,4.08774428780622,3.24358490257916,9.25724415105935
tuus,cogitatio,14.7,4.05799694441217,3.22453670760847,9.25615541932415
tuus,aduentus,11.95,3.50278178708507,2.86409528087426,9.23143626710347
tuus,mater,9.86,3.07279394634025,2.57970810431933,9.20524304622654
tuus,dignus,9.39,2.97226707038629,2.51269739403637,9.1980302380373
tuus,puer,8.94,2.87829092217727,2.44989649279734,9.19086908211447
tuus,amor,8.76,2.83981677436264,2.42414399669493,9.18781564462758
tuus,filius,7.45,2.55376571580387,2.23198399090068,9.16272652132623
