lemma,collocate,LogL,LR,MI,LogDice
ubi,post2,53.69,6.36029975723394,4.79730083137027,10.8920557358391
ubi,ago,16.84,3.00619125659743,2.59011383413295,9.94202308194877
ubi,locus,15.75,2.8764233816271,2.50133097749494,9.8844532301273
ubi,quisque,12.08,3.50668924421546,2.93143338998849,9.8588513715801
ubi,Caesar,13.82,2.92017127699227,2.53127333411002,9.84764861850354
ubi,audio,8.18,2.70133667506901,2.38138705306922,9.59175752319523
ubi,primum,6.36,2.76692501669658,2.42633844093149,9.47459478248077
ubi,sed,11.45,1.77380410542175,1.74369555863842,9.40075643268155
ubi,sum,31.13,1.3763452366024,1.46959759777003,9.24276204728441
ubi,ille,8.04,1.36823103087016,1.463998023446,9.16305693599964
