lemma,collocate,LogL,LR,MI,LogDice
uero,immo,96.72,7.49437611978417,5.55955340521838,11.3115857734147
uero,nunc,87.77,4.41987699717058,3.71075857635591,11.0681715284255
uero,postea,37.36,5.31341284688941,4.29312065044712,10.6500959127254
uero,iam,52.17,3.54806074712523,3.12658825467336,10.6146132243645
uero,tum,43.31,3.75669472553338,3.26739818558883,10.6104081644582
uero,ego,69.78,2.56576417095607,2.45788253045894,10.2151963040422
uero,multo,16.15,4.30902107777225,3.63717375357326,10.0681743672757
uero,posteaquam,18.38,5.92501047411403,4.67636262177057,9.97464830926485
uero,Marcus,9.76,3.03706144215898,2.77972352172204,9.78602226283335
uero,tam,7.39,2.19969608733391,2.20696015851854,9.59084469793786
uero,quintus,6.73,2.8711436021353,2.66660100072873,9.56918320115669
uero,ille,16.2,1.62679844820048,1.81306344309204,9.56291978855914
uero,quis,13.87,1.59098014447352,1.78839760390497,9.52836120663643
uero,iudex,5.43,2.50020519858637,2.41299824192981,9.46382268549886
uero,si,8.91,1.45351196313833,1.69369610389301,9.41036655316104
uero,quod,5.56,1.65578213586998,1.8330197594755,9.39233293381332
uero,hic,12.38,1.30787045026937,1.59330652004491,9.37184597762153
