lemma,collocate,LogL,LR,MI,LogDice
uis,per,40.22,3.56620476340926,3.05171363401364,10.463509957145
uis,tantus,38.05,3.62717426682703,3.09303178334437,10.4626704440133
uis,corpus,25.56,4.006246268818,3.34896515748157,10.3549231685445
uis,magnus,44.23,3.04938859196699,2.70008407639618,10.2911817622822
uis,nullus,26.1,3.17535178995376,2.78599366169918,10.1989085552791
uis,amicitia,19.09,3.63560288889761,3.09874064756469,10.1569698660588
uis,sustineo,18.93,4.8411870225475,3.90491121652803,10.1498523982899
uis,contra,17.51,3.88875270579956,3.26982783692285,10.1246409789434
uis,umquam,13.1,3.71079038529183,3.14963225486108,9.93955698945358
uis,affero,12.67,3.62437563347435,3.09113604817947,9.91823421998476
uis,suus,18.44,2.37950144400832,2.24147969613297,9.82561273010436
uis,nec,12.88,2.52483995992344,2.34119126922639,9.78259534502067
uis,animus,11.92,2.40266808992949,2.25738030462092,9.7243264368967
uis,scelus,7.16,2.99174669912288,2.66073199172405,9.57515336814319
uis,arma,6.67,2.85424317537295,2.56676619930572,9.53600942747469
uis,aut,6.72,1.69057716440232,1.76765010395937,9.35629615000967
uis,et,13.78,1.1474040917273,1.39305119226222,9.16755196355924
