lemma,collocate,LogL,LR,MI,LogDice
ut,sum,34.67,0.574956169076184,0.877579542066085,10.7286892401738
ut,is,42.08,0.929073870548874,1.11630180366621,10.6791078276535
ut,facio,57.27,1.61340602316523,1.57210349383526,10.5234328163637
ut,non,11.07,0.527331212544096,0.845357332289047,10.4000955720615
ut,ego,12.69,0.643761602077326,0.924086271870785,10.3345597776198
ut,scribo,80.18,2.72536739691813,2.28790777713862,10.2758137320539
ut,ita,58.47,2.18669573097955,1.94602437480754,10.2482030024574
ut,tu,9.24,0.601272810973458,0.895373894935982,10.2222459863447
ut,omnis,12.17,0.74433130549266,0.991960806480922,10.1967777645587
ut,scio,61.56,2.59895115424135,2.2086655846219,10.0964980443038
ut,dico,13.2,0.890758091237806,1.09055174778081,10.0777964346397
ut,curo,115.24,4.45748543606444,3.28064501450596,10.0470998291597
ut,uideo,7.11,0.67953748816551,0.948245658801484,9.94798624542302
ut,nam,29.85,1.86700980272242,1.73858458294393,9.86246587778357
ut,ago,26.11,1.72153475227487,1.6432744031396,9.84866850640429
ut,opinor,119.71,5.61949222311338,3.79914899484853,9.83434641007312
ut,fio,30.76,2.10041765804868,1.89033297019945,9.74007959121286
ut,aio,49.36,3.13775044275099,2.54135667794816,9.6597723994942
ut,quisque,38.55,2.65535767567038,2.24410515448022,9.64233009683086
ut,uolo,5.56,0.800474383530193,1.02979634082363,9.57053693088826
ut,ualeo,46.53,3.24032017639154,2.6030502469535,9.56226275831211
ut,spero,45.01,3.16631959494776,2.55859848438266,9.56029425373944
ut,nisi,17.7,1.68360715247456,1.61834097116633,9.54015986112917
ut,puto,9.67,1.18254590936235,1.28609057923467,9.49639636626869
ut,uos,7.37,1.01422159047733,1.1734489430787,9.47849750505847
ut,efficio,38.28,3.37079010828695,2.68066084965842,9.32317382510547
ut,soleo,18.14,2.05958841999264,1.8638997131313,9.28405540851
ut,accido,31.94,3.12799147628866,2.53545695582097,9.2467414288602
ut,rogo,30.78,3.04913605557742,2.48760093464333,9.24508442765257
ut,primum,11.71,1.64952859686819,1.59590936178255,9.19534863693513
