lemma,collocate,LogL,LR,MI,LogDice
ad,quemadmodum,226.72,5.86933804553729,3.95854201861076,10.5438372126228
ad,usque,219.79,5.83371413580657,3.94502270661851,10.5195294374433
ad,ego,174.7,1.9152360858833,1.77317720574241,11.1057725501886
ad,is,166.88,1.67473527975004,1.61437077869084,11.0870456529037
ad,tu,158.12,1.9565708835921,1.80034064307027,11.0553616786621
ad,scribo,90.66,2.94857809283857,2.43720698773163,10.4057746909283
ad,modus,78.48,2.98514003578887,2.45999915387618,10.2668925935251
ad,sui,56.42,1.52805015494963,1.51693009721732,10.5894567559196
ad,senatus,46.53,2.20763264775982,1.96440875955488,10.1442167128947
ad,hic,42.34,1.02404182014652,1.17933583206559,10.6189417508437
ad,Caesar,35.98,2.09022049864286,1.88788379353694,9.98964109385099
ad,legatus,33.59,2.69039677022774,2.27468805823385,9.62165661074241
ad,uenio,28.63,1.77650387172917,1.68172253429647,9.98361697924761
ad,uesper,27.62,5.86346147920062,3.95632226187244,8.47057091248858
ad,redeo,27.49,2.96999139935442,2.45056277891319,9.30407545074344
ad,salus,26.98,2.42605616689332,2.10572229262146,9.55258071687166
ad,qui,21.63,0.566233824941579,0.869728009728538,10.539389090287
ad,extremum,21.1,4.64106905786417,3.40977855550437,8.4674013377273
ad,pertineo,20.3,2.93886888185864,2.43114469305608,9.02710503388659
ad,pes,20.12,2.9213814551298,2.42021562252389,9.02672049244751
ad,pugna,19.59,3.410288851035,2.72039785773991,8.79051384715858
ad,colloquium,19.51,4.36096113867143,3.2631750813125,8.46621533244892
ad,bellum,19.29,1.62014321900962,1.57815448771239,9.76754175686046
ad,ultimus,18.15,3.23341108895092,2.61315232738631,8.78817466480541
ad,sidus,17.36,3.98899236128448,3.05838066866649,8.46424177743693
ad,mors,17.27,1.90926516881374,1.76925005600024,9.46275183049737
ad,aditus,17.16,3.46353087231198,2.75234945754651,8.63988223254652
ad,caelum,17.16,2.84109366617216,2.36987386766304,8.91124692663979
ad,pernicies,15.33,3.64106905786417,2.85770997320433,8.46187864124465
ad,res,13.46,0.801169213685183,1.02890923229593,10.2108910961894
