lemma,collocate,LogL,LR,MI,LogDice
aliquis,ex,29.73,2.14408063972793,2.08093333334588,10.1796746597526
aliquis,cottidie,28.91,4.94230624946998,3.9325364794073,10.0600376258826
aliquis,ratio,27.64,3.56043561412634,3.03722939983373,10.2310778382125
aliquis,aut,22.76,2.07134819447172,2.03127849121509,10.080359026292
aliquis,pretium,19.61,5.00942044532852,3.9743835893428,9.69088013613421
aliquis,fors,17.94,3.49484727249876,2.99355433633107,9.91682873837602
aliquis,casus,17.71,3.93706960110383,3.28637780828327,9.82100796371762
aliquis,tamen,17.03,2.26721820279617,2.16491091151567,9.99184070980522
aliquis,proficio,13.45,4.67927184363619,3.76674422456455,9.40825283434405
aliquis,spes,12.65,2.76366403092656,2.50214679842218,9.78663859567259
aliquis,ago,11.35,2.14718161619779,2.08304954152396,9.79437497960908
aliquis,cum,11.29,1.14705838792175,1.39758464094784,9.66641033100792
aliquis,scribo,11.24,2.32034954126662,2.20110893478885,9.7742095516444
aliquis,dico,10.67,1.47743434141307,1.62457942441136,9.73782326762339
aliquis,modus,9.94,2.36611395837656,2.23226935060391,9.69368518706181
aliquis,suspicio,9.5,3.6362031217443,3.08758328597935,9.35081292859513
aliquis,habeo,8.61,1.50010299795026,1.64013721444229,9.67466397416539
aliquis,reperio,8.43,3.34862653164772,2.89591586676716,9.32717116553809
aliquis,pars,8.41,2.13120892572656,2.07214850379015,9.63055214753298
aliquis,aliquando,8.37,3.33134854021588,2.88435504436608,9.32561474499044
aliquis,bonum,6.56,2.35080090288205,2.22184483326802,9.41886639184015
aliquis,puto,5.9,1.71804141380076,1.78958153200514,9.50390090906627
aliquis,talis,5.88,2.6362031217443,2.41578922988997,9.24784762366326
aliquis,et2,5.81,2.61514150621647,2.4015032726425,9.24497405846753
aliquis,semper,5.25,2.04594632135363,2.01392772928511,9.35440789951299
