lemma,collocate,LogL,LR,MI,LogDice
amicitia,in,43.86,2.0202506681265,1.92982038990289,9.57181270569571
amicitia,uerus,29.77,5.00987056494078,3.95955222711862,10.5239013101647
amicitia,uetus,26.68,5.29617475009743,4.14760445862156,10.4475131707916
amicitia,de,23.62,2.50280782382309,2.26182170753884,9.78901265310025
amicitia,sic,22.01,3.60387820526495,3.01509061827777,10.1775891532615
amicitia,noster,17.93,2.86827428655697,2.51263324418229,9.88912613582669
amicitia,confirmo,13.55,4.66883364710572,3.73323910104313,9.95987699194454
amicitia,propter,12.72,3.63135894168705,3.03378275128992,9.91823421998476
amicitia,uis,10.24,3.13212631499178,2.69327553945653,9.75150475795064
amicitia,populus,5.65,2.1370418054059,2.01024648906217,9.33185501485052
amicitia,pro,5.27,2.44915561046631,2.22495117173051,9.36365419654346
amicitia,nec,5.04,1.99194865694352,1.91032446403528,9.26161097022569
