lemma,collocate,LogL,LR,MI,LogDice
ante,oculus,164.95,7.49659101533634,5.68486659693852,12.0540898509447
ante,dies,51.8,4.50664468000026,3.74578241295361,10.5932624379622
ante,ara,49.79,7.53723299983368,5.70896414851758,11.2864096185222
ante,lux,24.81,5.93180639655281,4.69958299357741,10.7088035135522
ante,pono,24.3,4.9196658336806,4.02527890081895,10.5218415772017
ante,paulo,16.56,5.41858850333507,4.35994118219492,10.4026877394116
ante,ego,14.21,2.02085758436994,2.03978976548298,9.05576354221365
ante,mors,14.12,3.90164442604256,3.33349133977504,10.0063970075794
ante,omnis,14.11,2.27778115119446,2.2171485329348,9.21250825721796
ante,nox,12.57,4.409128174086,3.6795330274124,10.101400014904
ante,tempus,10.49,3.18068670807675,2.83912699306312,9.64650144894066
ante,bellum,5.95,2.64692528842077,2.4717214467793,9.29649391329105
