lemma,collocate,LogL,LR,MI,LogDice
aut,si,31.07,1.70635060584372,1.35751192719025,10.0848568672356
aut,quis,29.06,1.55497991996637,1.25414351344012,10.0468350512407
aut,audio,15.06,2.38545399927372,1.81890415110894,9.56324846563687
aut,fingo,14.63,4.04334802244873,2.91614375596508,8.98023979812674
aut,aliquis,14.52,2.05652341119646,1.59596041995725,9.6450409550342
aut,gladiator,13.17,4.62831052316989,3.28524121990237,8.71426141565882
aut,cur,12.02,3.02044762033865,2.24546943125719,9.14096309005486
aut,ira,9.87,3.7486047568876,2.72562543196694,8.69669509194092
aut,reus,8.46,3.36527611733609,2.47431100368604,8.68515333150075
aut,ingenium,8.32,2.74468970688421,2.06094071607076,8.92170605742993
aut,mors,8.21,2.1022417115023,1.62701314329883,9.20489839690381
aut,tres,7.29,3.04334802244873,2.26073690338798,8.67293322016598
aut,facinus,7.03,2.96838596476751,2.21072648281332,8.66969958759891
aut,metuo,7.03,2.96838596476751,2.21072648281332,8.66969958759891
aut,gratia,6.89,2.4298163695308,1.84888199718104,8.89861034263528
aut,quomodo,6.71,2.87984929016585,2.15153761142299,8.66567219592893
aut,fortuna,6.62,2.06076507552614,1.59884226633214,9.05194958109536
aut,unde,6.36,2.78031361661494,2.08484623692431,8.66086063893171
aut,lego,6.09,2.70231110461366,2.032478251407,8.65686861766217
aut,retineo,6.09,2.70231110461366,2.032478251407,8.65686861766217
aut,Cato,5.89,2.642810092865,1.9924729167933,8.65368643518371
aut,mos,5.87,2.19535111589378,1.69019204492037,8.87827065839816
aut,ubi,5.5,1.8392073056685,1.44809874482649,9.02326625757943
aut,uolo,5.28,1.27028942570394,1.05933149456729,9.32250915243228
aut,potestas,5.07,2.40180199336121,1.82995398729552,8.63949061319552
aut,quisque,5.05,2.00070368504024,1.55802027181188,8.85906770495589
