lemma,collocate,LogL,LR,MI,LogDice
ciuitas,princeps,47.4,5.75493008573378,4.46424740149784,10.8245537330591
ciuitas,liber,33.6,5.50547865217292,4.30539820088903,10.5660127955149
ciuitas,finitimus,30.68,7.12996951708071,5.28622745390076,10.3364383538704
ciuitas,in,27.29,1.63678121006721,1.6962479484417,9.44139744982824
ciuitas,dono,27.17,6.42952979893962,4.88076234579259,10.3048899961354
ciuitas,status,24.17,5.84456729821846,4.52075961176118,10.2653110098548
ciuitas,corrumpo,17.62,5.71493201780187,4.43892959351355,10.0017992983308
ciuitas,totus,17.44,3.41572399941459,2.91598371243289,10.0665417138518
ciuitas,uniuersus,14.88,5.01449229966077,3.98694446977049,9.9424346892812
ciuitas,Gallia,14.33,3.95006042706577,3.27801342150929,9.99039666623299
ciuitas,nobilis,11.99,4.27198852195314,3.4944679846727,9.84633886062148
ciuitas,hic,9.17,1.25076919913332,1.42998146394161,9.15310987712476
ciuitas,multus,6.67,1.84610946302687,1.84048169597753,9.36770114662366
ciuitas,do,6.3,1.99246599333077,1.94124775223683,9.39383031367883
ciuitas,noster,6.25,1.98225579472855,1.93422031642937,9.38884774233436
