lemma,collocate,LogL,LR,MI,LogDice
cum,praesertim,116.62,4.9097774972002,3.45892862261687,9.93492582007801
cum,tu,105.9,1.63685190607419,1.53474131062799,10.8674329724032
cum,una,70.14,4.37926278050142,3.19656435814938,9.56984479562342
cum,sui,56.28,1.46815993360599,1.42306265749489,10.5598771579442
cum,ego,55.3,1.20527241521117,1.24793681611757,10.6647389413422
cum,nam,28.85,1.87024913301356,1.68822256258665,9.81384788852478
cum,is,28.52,0.803273408849383,0.977991896128285,10.5481717456841
cum,tum,27.01,1.83989714622037,1.66833650114082,9.7772622230095
cum,hic,22.05,0.746524555210851,0.939705944770832,10.4734909421493
cum,qui,21.17,0.534552583894312,0.79636050410254,10.586077895745
cum,exercitus,20.98,1.99640568697173,1.77062516568225,9.44519474689073
cum,legatus,20.54,2.22468574339254,1.91861114082545,9.27672936841793
cum,magnus,19.19,1.14277016212012,1.20612480978549,10.0581755033351
cum,pariter,18.46,4.1986905348596,3.10125417834506,8.3055946871564
cum,loquor,17.74,2.12550618825564,1.85450325200632,9.20325631692046
cum,ille,17.49,0.776839309714042,0.960162974489594,10.3383720804112
cum,antea,17.22,2.85570082444441,2.31849483909542,8.75726141321806
cum,iam,17.04,1.33756983220146,1.3362236247668,9.78814678818443
cum,telum,16.85,2.81447816171789,2.29285240848209,8.75660091121254
cum,aliquis,16.28,1.42979551452041,1.39758464094784,9.66641033100792
cum,uenio,16.02,1.381769636112,1.36565095150177,9.69677985826139
cum,Saturninus,15.95,3.76259142005293,2.86009212152817,8.30357787975009
cum,equitatus,14.95,2.84084286571729,2.30926116314848,8.62670769028746
cum,audio,14.76,1.61289626989466,1.51891819568875,9.42044932662965
cum,Catilina,14.08,2.16721230338643,1.88149750631786,8.95689751576624
cum,ceterus,14.06,1.76035294785693,1.61611398258853,9.25444694643828
cum,summus,13.86,2.9945989302661,2.4043262749452,8.47753958180467
cum,ita,13.21,1.29953558803069,1.31087306908712,9.61513648399092
cum,dies,13.03,1.28923057963895,1.30400018979936,9.61400398103862
cum,domitius,12.55,3.71629776777899,2.83365886446001,8.08211471868174
