lemma,collocate,LogL,LR,MI,LogDice
enim,neque,183.36,3.66488100939032,3.1347344259502,11.2845063061851
enim,quis,179.08,2.49942432907373,2.37561668797609,11.1188371811891
enim,sum,116.22,1.31243336921207,1.57563609597156,10.5799217061926
enim,non,60.68,1.46729269302165,1.68093367516399,10.5472727264273
enim,iam,33.97,2.21175604202395,2.18350674686909,10.3493417587063
enim,sic,33.71,2.66997085653029,2.48880363988338,10.2435993450106
enim,at,25.55,2.65468144847902,2.47868004664,10.036260712733
enim,nec,24.26,2.02022886618236,2.05487890868654,10.1822876740431
enim,nullus,23.92,2.07086850562019,2.08893913595031,10.1605476874067
enim,nihil,20.96,1.7911123989125,1.90035581793238,10.1509167943457
enim,hic,20.88,0.995536611037498,1.35954505204619,10.2116866488979
enim,refert,19.53,5.07836304216712,3.98104657901265,9.0791070814046
enim,numquam,17.51,2.46365319805191,2.35180603928237,9.80129542245366
enim,nosco,15.71,2.89703327745256,2.63855484055115,9.53985558606217
enim,scio,14.89,2.09485116495569,2.10505737575684,9.82142570375015
enim,quando,14.03,3.94908002522215,3.31321720643699,9.06193539873858
enim,ipse,13.74,1.28677543596783,1.55816952305945,10.0563098213195
enim,quisque,13.62,2.42015155941532,2.32281850240912,9.61251951464365
enim,saepe,13.17,2.19843949415887,2.1745809623949,9.68177141993597
enim,nemo,12.41,2.11900502666446,2.12128238067054,9.67072971776543
enim,demum,11.46,4.20389392425098,3.47022095524666,8.78687747951519
enim,uereor,11.38,2.92455770608808,2.65662762161084,9.23697172939633
enim,ego,11.3,0.85745767992906,1.26516388426717,10.0564286368369
enim,dico,11.15,1.14249337958683,1.45984992781945,10.0014004947363
enim,ualde,10.74,3.27100812010951,2.88243429034454,9.0432930479293
enim,multus,10.53,1.3140768420014,1.57675469591758,9.91649832370261
enim,aperte,10.38,3.90843804072481,3.2878993984527,8.78235053651942
enim,umquam,9.7,2.34139744800091,2.27025617231826,9.35962355827729
enim,uideo,7.78,0.981836118488542,1.35018601660157,9.89972070225808
enim,iste,7.73,1.28294773342104,1.55556334969545,9.75591005141856
