lemma,collocate,LogL,LR,MI,LogDice
et,fortis,49.02,2.37391829353924,1.76258174412313,9.27934332020024
et,simul,30.22,2.38281072044381,1.76790521462817,8.80266677450999
et,statim,26.82,2.57362496687034,1.88102289102406,8.57226385270107
et,erectus,24.77,4.81938138127229,2.98475028035894,7.66849815010631
et,laelius,22.91,3.58234218397144,2.4361843286101,7.9536626351491
et,clarus,20.39,2.15424853186715,1.62970846274316,8.56817207437779
et,grauis,19.98,1.72673209330662,1.36438329739265,8.8895911971147
et,bonus,17.2,1.17105681955371,1.00883942765986,9.35588386387725
et,furor,17.17,2.50572090236853,1.84101755641036,8.17120145202753
et,locuples,16.79,3.14868900652525,2.20734275618126,7.81968761959679
et,Fannius,16.75,4.04177380260874,2.65932787992431,7.48588007737245
et,uis,16.57,1.46204795025373,1.19634089801617,8.97084166931319
et,cottidianus,16.38,3.45681130188759,2.37164580747253,7.6668683993937
et,uiginti,16.38,3.45681130188759,2.37164580747253,7.6668683993937
et,aio,15.41,1.80911304581847,1.4161343624451,8.56380652611746
et,uenio,15.21,1.07470769197082,0.946197508933084,9.37693532413536
et,praecipio,14.89,2.89493241427947,2.06626415792135,7.81894868510665
et,magnus,14.85,0.805475779247075,0.769864248900425,9.79581345349433
et,uarius,14.65,2.61550904790664,1.90555607754793,7.9505613995542
et,misericordia,13.71,3.04177380260874,2.14850225615832,7.66598056269732
et,protinus,13.65,3.45681130188759,2.37164580747253,7.48513917195218
et,auctoritas,12.79,1.49988002377947,1.22051548452098,8.68043929131214
et,diligentia,12.38,2.34133408446765,1.74303714805016,7.94923523712599
et,sapiens2,12.38,2.34133408446765,1.74303714805016,7.94923523712599
et,mansuetudo,12.04,3.71984570772138,2.50517720009706,7.26288477303798
et,aeger,11.82,3.11577438405252,2.18932425067858,7.48454684259975
et,nubes,11.82,3.11577438405252,2.18932425067858,7.48454684259975
et,affligo,11.65,2.71984570772138,1.96618069936437,7.66509351355578
et,gemitus,11.46,3.58234218397144,2.4361843286101,7.26273652605824
et,laus,11.41,1.64418143778931,1.3122542319577,8.421577268819
