lemma,collocate,LogL,LR,MI,LogDice
habeo,nihil,67.82,2.72952374273201,2.37365685029262,10.6358438900182
habeo,delectus,59.26,6.5331265299285,4.58218098288277,9.85951428178004
habeo,non,32.62,1.21843000427222,1.3533548271614,10.2413224431293
habeo,nullus,30.81,2.34309395503762,2.11553210166834,10.1968524523371
habeo,ratio,30.25,3.12713417025266,2.63627083382746,9.98436801195284
habeo,certus,29.72,3.27831263089968,2.73515883497967,9.92632207458646
habeo,qui,25.61,0.848307792375279,1.1001719584842,10.0976906867595
habeo,uenalis,23.74,5.94816402920735,4.31024726739913,9.05746511860768
habeo,numerus,19.17,3.30926272137539,2.75533019384345,9.52999519392809
habeo,auctoritas,18.74,2.7535165983538,2.38959678510306,9.70347073748453
habeo,potestas,18.73,3.25726808373712,2.72142864216777,9.52672988490435
habeo,panis,17.14,4.56965240595362,3.54810721535223,9.0432930479293
habeo,sui,16.9,1.29363028683213,1.40468534400899,10.0535755678545
habeo,oratio,15.83,2.90752204471,2.49164054813489,9.50177889235487
habeo,possessio,15.66,4.27009212409471,3.36578565855828,9.03802987788502
habeo,parum2,15,5.15461490667477,3.88903380232283,8.76800051448961
habeo,nondum,14.75,3.4834957622039,2.86838305512443,9.22846827679668
habeo,popularis,13.9,3.91254011947662,3.14264210724407,9.030186700424
habeo,quisquam,13.74,2.43088833599776,2.1743916364392,9.56918320115669
habeo,sic,13.29,2.06845826292506,1.93070113326896,9.69256222231719
habeo,spes,12.79,2.32172489251003,2.10118823241591,9.55587923553032
habeo,multum2,12.21,4.39562300617857,3.44274669969441,8.76001821046493
habeo,facultas,11.7,3.4627372020371,2.85496003479229,9.01724990939328
habeo,nisi2,10.38,3.90085831442899,3.13526199994645,8.75209911936598
habeo,contio,10.35,3.18262928284437,2.67263847799834,9.00701964114247
habeo,amicus,10.33,2.03168738476963,1.90587948009514,9.5162914825491
habeo,se,9.97,2.37932119384947,2.13983394751357,9.32173425894136
habeo,male,9.77,3.06063875846576,2.5925957703248,9.00194348811061
habeo,quomodo,8.99,2.89505269274778,2.48339647835981,8.99437724772729
habeo,aditus,8.9,3.49750262019778,2.87743289064435,8.74337306050617
