lemma,collocate,LogL,LR,MI,LogDice
imperium,atque,59.92,2.92069602840434,2.64017036853152,10.1011401734058
imperium,populus,40.8,3.80459467295135,3.24348127793713,10.4699697464949
imperium,summa,28.34,6.63967035256741,5.09100432168364,10.5187599106643
imperium,teneo,16.95,3.79762271234364,3.23874674085502,10.1371672387626
imperium,pareo,15.14,5.07262975984351,4.09417472732547,10.1150056669598
imperium,potestas,11.37,4.10915563586863,3.44981771093496,9.93668754702563
imperium,uester,9.78,3.03700585011279,2.7198565572523,9.74972063615714
imperium,gloria,9.71,3.67573960727493,3.15590508873254,9.82561273010436
imperium,dignitas,9.61,3.64860347733741,3.13744302589281,9.81794985735879
imperium,cum,8.98,1.45890167489575,1.63404336550303,9.11373186943714
imperium,hic,8.84,1.32194669712412,1.53948187003113,9.03515936109338
imperium,superus,8.65,2.80210081746279,2.5588447870451,9.65133626899524
imperium,tantus,6.64,2.36389071848393,2.25779097762743,9.4514001655003
imperium,romanus,6.52,2.3365661319717,2.23899343165992,9.43825937193924
imperium,totus,6.02,2.66663740016767,2.46586833058699,9.48184119100154
imperium,pro,5.48,2.51191480536903,2.35957367193737,9.41843967965104
imperium,neque,5.09,2.00224043195211,2.00879845012582,9.27150659797991
