lemma,collocate,LogL,LR,MI,LogDice
intellego,non,43.58,2.26942538896541,2.15820599730135,9.66574841989368
intellego,possum,24.72,2.45735208574639,2.28750308578709,9.72830654165332
intellego,demum,20.95,6.55770723960385,5.00973792188125,10.2465820247485
intellego,quis,17.28,1.96573568036333,1.94902079823785,9.42344977139196
intellego,quantus,15.2,3.52048477564765,3.01585426856306,10.0165869984852
intellego,ut,11.76,1.63077889075879,1.71801205858344,9.20484538447239
intellego,qua,10.68,2.06257901124131,2.01575718136607,9.41886639184015
intellego,si,10.26,1.75763096367412,1.80552913405646,9.26204870277809
intellego,legatus,8.63,3.38778223816154,2.92530883869038,9.72333388098394
intellego,primum,7.22,3.00591160281789,2.66409333942676,9.59328075273575
intellego,quod,6.14,1.95968858605725,1.94485278963894,9.27793606254041
intellego,iam,5.08,2.00172380585446,1.97382385869443,9.24964780416741
