lemma,collocate,LogL,LR,MI,LogDice
is,qui,486.31,1.70492586604337,1.53057242709023,11.5509217654671
is,in,151.22,1.25937625220213,1.2394256551226,11.1194189671209
is,modus,132.62,3.15400271538772,2.42689652775463,10.2807979218025
is,ad,123.37,1.56345496651453,1.43869376461556,10.9113686388284
is,ab,100.31,1.56176968816856,1.4375958830279,10.7786881203339
is,ex,78.37,1.65732502211658,1.49972161409154,10.5503774176761
is,locus,69.5,2.16382579787336,1.82425074844876,10.1532624612705
is,apud,53.94,2.49960096586178,2.034066440491,9.73709297928934
is,que,52.33,0.981503770281576,1.05549545728314,10.7232484260457
is,res,51.47,1.18123284378283,1.18786398395842,10.5702913853555
is,discipulus,48.96,4.98782984880651,3.3511118809611,8.76114316036259
is,ut,48.29,1.0248633287919,1.08429907258004,10.6471050965673
is,quod,46.66,1.59895150999452,1.46180007852303,10.1808900497765
is,dies,35.14,1.68356860269295,1.51673865106521,9.87477745834128
is,qua2,34.01,2.31540450683501,1.91956092825309,9.40740859621877
is,aduentus,28.93,3.11336073089037,2.40322678366872,8.83640521144664
is,quidem,27.72,1.48518616334791,1.38762509231038,9.83480243554548
is,ago,27.37,1.60655729309472,1.46674650245835,9.71727587890003
is,autem,25.17,1.55778203695031,1.43499780414377,9.68552718058545
is,postridie,25.07,4.1658281507845,2.97608779835417,8.30964054567594
is,igitur,22.59,1.96254455239576,1.69632422804029,9.25667098660278
is,pars,22.41,1.65261816710073,1.49666745924479,9.49774886801975
is,cum,20.39,0.710369806597157,0.87461354167445,10.4447933912303
is,consilium,19.59,1.56261394550713,1.43814588762514,9.45537631387994
is,de,18.09,0.901556331034639,1.00229416994874,10.1212841925896
is,numerus,16.53,2.27358433114039,1.89335855585906,8.73990384627216
is,ob,16.07,2.23294234664304,1.8678252538539,8.73919571453007
is,liber2,15.61,2.69550821600447,2.15410774595125,8.43356571649502
is,tamen,14.39,1.14757644622828,1.16561562019396,9.62340475532332
is,interrogo,13.24,3.32676436899956,2.52628687642595,7.97244463274766
