lemma,collocate,LogL,LR,MI,LogDice
lex,sancio,23.16,7.16699239846168,5.27940148883035,10.0584181923303
lex,promulgo,22.74,7.05151518104175,5.21486296769278,10.0551871717489
lex,fero,21.54,3.2421798948559,2.76574542575637,10.1030906323819
lex,de,18.04,2.22154856208377,2.06654373628772,9.69088013613421
lex,sine,16.65,3.30901140333411,2.81130195735874,10.0110159534357
lex,perfero,15.48,5.16699239846168,4.05562605720824,9.94821505219669
lex,nullus,14.87,2.76977617627008,2.44283243692717,9.84671290214445
lex,natura,9.34,2.94782387799952,2.56470674500948,9.68920087461449
lex,contra,8.12,3.25210901209963,2.77251593232358,9.6221487367366
lex,qui,7.73,0.88510872389876,1.1450672783921,8.91240366476762
lex,utor,7.11,2.97716783958167,2.58477430806029,9.54565270374649
lex,Caesar,6.37,2.3028062538074,2.12240106768024,9.44087375251332
lex,inter,5.95,2.64866709077082,2.35983057624193,9.44262047784826
lex,ago,5.77,2.16417738285463,2.02709088787592,9.38117348756442
lex,suus,5.34,1.61496378710261,1.64885761172938,9.22227804881376
