lemma,collocate,LogL,LR,MI,LogDice
locus,is,74.15,2.01332967412732,1.97267075356703,10.3016824663888
locus,superus,49.84,3.59607353103643,3.04203542057278,10.604024562319
locus,commutatio,47.65,7.55800549020291,5.31930270558254,10.1218785462475
locus,hic,46.4,1.76677023350859,1.80398330259399,10.1223384220892
locus,desertus,41.36,7.87993358509028,5.44713607709243,9.94647743229815
locus,iniquus,37.07,6.02749077350414,4.56161700388502,10.0929895363954
locus,in,36.37,1.42093063828525,1.56680427062571,9.92545806507408
locus,opportunus,33.54,6.46489608581143,4.80050891216737,9.92926530341703
locus,ipse,22.62,1.99209244348475,1.95815601103642,10.0541124806191
locus,opportunitas,21.05,6.72793049164523,4.93631045332644,9.43565180853216
locus,mutatio,20.45,6.55800549020291,4.84929907633681,9.43391720271996
locus,unus,18.91,2.42249051954643,2.25167269284897,10.038321404126
locus,natura,18.56,2.94329564608771,2.60460796176166,10.0075497454592
locus,aequus,14.87,4.0768788004663,3.35920792153527,9.62424297833971
locus,ex,13.88,1.6564681290886,1.72840365982881,9.83851613494027
locus,apertus,13.64,4.72793049164523,3.77885766463539,9.39482981401191
locus,multus,13.57,1.86839570526257,1.87355694765932,9.86084142198811
locus,muto,13.15,3.73357705478637,3.13325142884445,9.59633419022264
locus,pono,11.82,2.98108030854718,2.63009559228181,9.68384610947683
locus,obtineo,11.76,4.23607739531555,3.46300471521691,9.37339453329184
locus,confero,11.24,3.34855212457396,2.87695567021334,9.55734874350968
locus,colloco,10.47,3.89504047748049,3.2398611639027,9.35400781949165
locus,consularis,10.47,3.89504047748049,3.2398611639027,9.35400781949165
locus,ubi,7.89,2.29497108436912,2.16485874087373,9.54798099350608
locus,moueo,6.05,2.68353637228677,2.42893094768638,9.24067913418465
locus,paro,5.86,2.6298984086847,2.3925633035155,9.23356166641579
locus,nascor,5.72,2.58837913924643,2.3643924265488,9.22790394269593
locus,praesidium,5.58,2.54802140163029,2.33699345236069,9.22227804881376
locus,constituo,5.22,2.44252827278298,2.26530152390457,9.20696807684234
