lemma,collocate,LogL,LR,MI,LogDice
longus,interuallum,92.79,9.18856382033773,6.60627242947945,11.8341259525479
longus,oratio,34.54,5.59361723104395,4.47936435056069,10.8465519804543
longus,nauis,27.86,5.4552094797239,4.38706894542445,10.7115981124832
longus,tam,25.75,4.01577916475617,3.41247024216336,10.1744690259253
longus,spatium,18.86,5.99216660753422,4.74305399626925,10.5553175063981
longus,tempus,15.81,3.61264645921958,3.13637851653105,9.88585281048172
longus,ordo,13.22,4.57385397622252,3.79286171271941,10.1569698660588
longus,iter,12.74,4.45159822617152,3.7097468060089,10.111586860211
longus,sum,5.77,0.931592039664076,1.28680770389863,8.26266897714298
longus,dies,5.76,2.59113196765435,2.43359602398744,9.22087650688847
