lemma,collocate,LogL,LR,MI,LogDice
mille,passus,360.83,11.9082975388831,7.43075561210048,12.925485262911
mille,circiter,79.65,8.83790821099174,6.34984290053177,11.7099936892128
mille,sex,61.6,9.10094261682553,6.48337429315629,11.4944740630093
mille,homo,41.53,4.08951203604913,3.33386246614783,10.1595706477589
mille,ample,30.16,6.93101761538322,5.23061132466092,10.9146555677563
mille,duo,25.77,5.13746849285064,4.04725780753772,10.5156877116273
mille,ducenti,25.3,7.61551578965529,5.65669571997182,10.7811241751318
mille,triginta,25.3,7.61551578965529,5.65669571997182,10.7811241751318
mille,sestertius,25.04,7.54840159379675,5.61587372545157,10.7744796324131
mille,quinque,23.68,7.20047829037644,5.40076234583462,10.7355136638797
mille,quattuor,23.48,7.14985221730648,5.36901364752004,10.7291644362011
mille,tot,16.73,5.45324436075641,4.26003857181639,10.3845876977679
mille,numerus,15.66,5.18765425001886,4.0811593592134,10.3028217430714
