lemma,collocate,LogL,LR,MI,LogDice
mitto,legatus,87.88,5.42896626312112,4.19815856575248,11.1631169270548
mitto,pax,29.27,4.41897449146396,3.53898646357683,10.3948904289515
mitto,littera,23.03,3.72330852633658,3.07266607974739,10.2158103660817
mitto,iugum,18.31,5.90145403458387,4.49528253006468,9.87018104958424
mitto,panis,17.88,5.79042272219512,4.42628965857773,9.86483344325764
mitto,tu,12.9,1.58357115175445,1.60968405092118,9.44507103044866
mitto,ad,12.89,1.58299256941628,1.60928540630756,9.44472058362537
mitto,telum,12.07,4.297382710915,3.45803918777286,9.7420260139961
mitto,qui,11.73,0.989917074118982,1.20021400831636,9.12123848695063
mitto,auxilium,10.89,3.99072137268095,3.2527760617365,9.70044958715036
mitto,statim,10.83,3.97545461602764,3.24251956156931,9.69818969918292
mitto,epistula,9.78,3.69982017341422,3.05680241577422,9.65403241514182
mitto,Caesar,8.61,2.4211889125294,2.18557996930177,9.59939697975318
mitto,is,8.6,1.12851269675253,1.29588081503186,9.17971843439496
mitto,ut,8.19,1.26636302763364,1.3909933242276,9.24333572101321
mitto,pater,7.7,2.59840394990219,2.30702662271122,9.56029425373944
mitto,Roma,7.68,3.13591928822089,2.67419544574211,9.54178422696857
mitto,cognosco,7.44,3.06957679339219,2.62899000897406,9.52645825649035
mitto,quoniam,7.16,2.99072137268095,2.57521361219326,9.50762530815725
mitto,imperium,6.21,2.7251312619434,2.39376503668565,9.43913007290849
