lemma,collocate,LogL,LR,MI,LogDice
mos,maiores,67.61,6.37193343433728,4.97793727686398,11.3189784712857
mos,bonus,25.05,3.59057372081262,3.13247615025201,10.17817526249
mos,barbarus2,22.72,7.0017501708427,5.36505324630395,10.4638833004385
mos,malus,18.56,4.75782458795661,3.923496206509,10.3493417587063
mos,notus,16.42,5.39169668915872,4.34522183548895,10.2905012586833
mos,et,15.58,1.41226477385034,1.63404686434175,8.9427413898194
mos,uiuo,13.34,3.75182584733517,3.24251956156931,10.0179846227518
mos,o,11.55,4.15164560132576,3.51445327705296,10.0110159534357
mos,suus,8.33,2.11268657220606,2.11750162145908,9.30255453790274
mos,gero,8.01,3.2217716877164,2.88014659651594,9.68696623681307
mos,meus,7.86,2.28273970500783,2.23471061696104,9.37209032704242
mos,tuus,7.61,2.23677385105565,2.20303641486582,9.34603964984248
mos,homo,7.32,2.18412691333127,2.16675125512605,9.31601863358762
mos,noster,5.9,2.19303996917309,2.17289480977446,9.27927147337764
mos,aut,5.42,1.81671827701018,1.91333559623457,9.10141420971237
mos,sum,5.41,0.780405883730227,1.19723550604733,8.51539169237051
