lemma,collocate,LogL,LR,MI,LogDice
nisi,fors,131.37,6.03662607806365,4.64550717943321,11.4666811864251
nisi,uersus,40.17,4.64312174033444,3.76666096131108,10.609975918936
nisi,qui,22.06,1.19085727240081,1.42586241950213,9.42149162610834
nisi,possum,19.3,1.94058448486375,1.94187376928959,9.79344344717097
nisi,alius,19.17,2.59390370184764,2.38957031542124,10.0091658141476
nisi,sapiens,17.48,4.57137713283103,3.7196469965429,9.97464830926485
nisi,nemo,15.54,3.16142851022499,2.77617353007494,9.98964109385099
nisi,ut,14.39,1.47020255924758,1.61834097116633,9.54015986112917
nisi,prouideo,13.03,4.5511992508934,3.70640176979288,9.72797426054045
nisi,prius,11.43,4.13616175161456,3.43196492409112,9.68696623681307
nisi,quod,9.58,1.93159060736536,1.93569570976266,9.62897111953566
nisi,uideo,8.23,1.54320646013987,1.66860492938476,9.48311472887948
nisi,nosco,8.18,3.27266375151942,2.85161323767652,9.56324846563687
nisi,de,7.93,1.51069642193423,1.64622352718863,9.46525227830845
nisi,nihil,5.65,1.67127570288515,1.75673927111902,9.41673464939996
nisi,bonum,5.47,2.51167088670677,2.33335263542301,9.39816871527742
