lemma,collocate,LogL,LR,MI,LogDice
non,possum,882.2,3.37161432295696,2.57682366663568,11.8149112865044
non,modo,840.73,5.18526925746055,3.45320107287097,11.4912095810197
non,solum,473.45,5.59716880525332,3.60222782707652,10.888140907896
non,sum,209.49,1.10496632674257,1.1634580970117,11.2604732646686
non,dubito,139.97,4.35272731882411,3.09184536751012,9.97079473994886
non,nonnullus,85.04,4.79584736007099,3.29385955764981,9.37184597762153
non,enim,80.91,1.8193156405749,1.63028994234524,10.4966289936085
non,tantum,75.17,3.3598840219376,2.57018578643071,9.68417994356439
non,quia,63.32,2.90868882958666,2.30783885884483,9.70671036828322
non,audeo,60.05,3.19638528965472,2.47665972841989,9.53217800516313
non,licet,53.76,2.66745682384789,2.16254439889995,9.66598258451248
non,tam,42.04,1.87749764908741,1.66768073233482,9.90741136448016
non,ample,39.36,3.89382251963429,2.86150554932531,8.8619981099833
non,habeo,36.5,1.34149541709239,1.31945327548572,10.2074208914536
non,fero,36.31,1.80524605807324,1.62123174194943,9.82913541098188
non,intellego,36.17,2.34143562245801,1.9614957030553,9.46903812564763
non,desum,35.37,2.93335088382093,2.32250904859263,9.134390477954
non,uideo,35.11,1.18700695733886,1.2177047896766,10.315114016432
non,queo,31.25,5.00374021171233,3.38111600264704,8.33085826640881
non,sino,30.94,4.43085054329175,3.12898491445958,8.46241970025787
non,committo,30.68,2.91627737046199,2.31235667712861,9.00399501842647
non,parum,28.12,2.0529324995736,1.77973182502003,9.41665721705643
non,egeo,27.7,4.05888176590479,2.94666335766562,8.46119044380314
non,aliter,27.45,3.41397672472735,2.60071237708986,8.67869879706159
non,paruus,25.56,2.27485934767781,1.91984899141207,9.17924416357744
non,probo,24.83,2.53125244024958,2.0791627899609,8.99773295557426
non,reddo,23.88,2.46768731147212,2.03994207680762,8.99653319538236
non,longe,22.49,2.49083264811998,2.05424506199795,8.92506659827857
non,timeo,22.47,2.02290246879922,1.76062825402635,9.2262597849562
non,debeo,21.73,1.80210635054268,1.61920949656866,9.362731474448
