lemma,collocate,LogL,LR,MI,LogDice
numquam,profecto,27.02,5.34471351626965,4.14078386554855,10.4590406759627
numquam,uideo,22.03,2.51928702129003,2.23124136066411,9.73205233202383
numquam,enim,20.38,2.69475999158293,2.35180603928237,9.80129542245366
numquam,non,16.24,1.62840399265695,1.61752741038568,9.21831210403775
numquam,qui,15.71,1.26169486810901,1.36434454170848,8.99419114928067
numquam,tamen,12.09,2.67506419024201,2.33827985703751,9.6714620502771
numquam,legatus,8.63,3.38778223816154,2.82646300405374,9.66926665971367
numquam,quia,8.49,3.35180294105597,2.80189174332324,9.65836142623141
numquam,littera,7.02,2.95104966778337,2.52764909123312,9.52645825649035
numquam,quidem,5.51,2.10350143019204,1.9451036900637,9.27482702161721
numquam,sum,5.47,0.732708011058573,0.998741090007774,8.63655053851418
numquam,sui,5.11,1.43863137965729,1.48653637043931,9.01541538310369
