lemma,collocate,LogL,LR,MI,LogDice
primum,quam,77.39,6.61020469407682,5.02376739940493,11.2591599760748
primum,qua,14.95,2.21381087585823,2.11679803587938,9.62298590714966
primum,ut,14.05,1.66534624826928,1.73901020542322,9.3384494805758
primum,igitur,11.32,3.35240693660918,2.89702489710713,9.85488311240448
primum,respondeo,9.97,3.74622794997832,3.16486862733925,9.79779804192149
primum,cum,9.51,1.43960970003394,1.58328766940811,9.18375884393197
primum,dies,8.52,2.40380608911582,2.24743569088632,9.56324846563687
primum,intellego,7.24,3.01137001877411,2.66409333942676,9.59328075273575
primum,tum,6.91,2.42324717715963,2.26079507940369,9.49741640278701
primum,ille,6.82,1.308277799351,1.49263884815075,9.08667688837874
primum,iudex,6.82,2.89589280135417,2.58505013208631,9.55538987902435
primum,nunc,6.67,2.37055428331944,2.22458238990888,9.47414362073163
primum,ubi,6.01,2.66435094292392,2.42633844093149,9.47459478248077
primum,uideo,5.9,1.56382065020855,1.66898799776715,9.18955932423241
primum,quod,5.27,1.78680976075495,1.82275009283804,9.251595645926
primum,consul,5.01,2.37258481854681,2.22597806354785,9.36365419654346
