lemma,collocate,LogL,LR,MI,LogDice
pro,patria,45.75,5.11405204036447,3.96465427900251,10.6858139953275
pro,salus,37.14,4.37708644619826,3.48026191230468,10.5256210010443
pro,testimonium,31.09,5.99188017037052,4.51993166533934,10.3086236656875
pro,proconsul,23.25,7.2183887001792,5.22834631803007,9.87825646358979
pro,meus,22.73,2.72129895548338,2.36036795315466,10.0043045188477
pro,uallum,21.1,6.63342619945804,4.90292391759544,9.86483344325764
pro,ego,20.57,1.76158255094873,1.70153340706826,9.58568770182815
pro,castra,20.52,3.82607127740044,3.11116444836739,10.1340209330733
pro,uerum2,16.41,5.4110337781216,4.15570951576522,9.81287370432693
pro,amicus,12.13,3.02461695678252,2.56754900177841,9.79979504707842
pro,suus,11.34,1.99213708338712,1.86016670539659,9.58451172521216
pro,factum,11.11,4.04846369873689,3.26069618233835,9.68251188646369
pro,populus,9.86,2.35049223618655,2.10632031915179,9.63160755660192
pro,nihil,9.83,2.12971401926005,1.95473258881045,9.58460767148232
pro,tuus,8.99,2.01619489526455,1.87670862731638,9.52999519392809
pro,libertas,8.4,3.33086342943761,2.77601583867668,9.56127802164957
pro,fors,8.22,3.28292895237391,2.74343966824207,9.55148362405729
pro,certus,7.28,3.02461695678252,2.56754900177841,9.49465014929412
pro,res,7.04,1.33330247488903,1.40641635612896,9.25309353733303
pro,hic,5.6,0.982661640341142,1.16446096329268,9.0727463148428
pro,Caesar,5.45,2.09116814969113,1.92824505323928,9.36163684665614
pro,alter,5.12,2.40589047484564,2.1443214373304,9.32873001230739
pro,ipse,5.05,1.42955386609239,1.47278435156237,9.22810545403162
