lemma,collocate,LogL,LR,MI,LogDice
quis,si,795.13,3.64169867567337,2.67439984702067,11.8208803996958
quis,enim,248.12,3.14231172634801,2.36556635212258,11.1087868453356
quis,ergo,190.26,4.95870771489434,3.41609723859915,10.5259149025894
quis,nescio,181.4,5.31279001448585,3.59096798923724,10.4114781648286
quis,ne,175.16,2.73335916352394,2.10505250377845,10.9303258810474
quis,quaero,148.81,3.7607543516487,2.74621183857087,10.5730501222354
quis,tandem,138.1,5.56212297864057,3.7064126239617,10.1019199005409
quis,sum,131.78,1.17002408311058,1.06943532460034,10.7958891311492
quis,ago,116.83,3.12471766633327,2.35448590634601,10.5345965992815
quis,num,49.76,3.82997440077214,2.78760254578469,9.53908516999941
quis,pactum,48.33,5.61657076266295,3.7307299316124,9.06034367536233
quis,autem,47.53,2.37388941878532,1.87163413462243,10.0517448275579
quis,porro,47.48,5.52910792141261,3.69150921845912,9.05994614007583
quis,igitur,37.95,2.79639180024776,2.14558471174735,9.66999792117221
quis,ego,37.07,1.16725478039225,1.06756401903933,10.3960456485717
quis,scio,35.88,2.43808374771721,1.91358122837953,9.78294628378546
quis,intersum,29.73,3.53975516561212,2.61231501564811,9.14212746045616
quis,uero,24.05,2.24697341638427,1.78839760390497,9.52836120663643
quis,mirus,21.02,3.98721414258334,2.88057900224279,8.64932740311804
quis,quamquam2,20.7,3.52608022871504,2.6039467659776,8.79520869146279
quis,opusculum,20.48,3.49911318111477,2.58741746402639,8.79481661147345
quis,dico,19.77,1.21108428098116,1.09717031223216,10.0299630909118
quis,de,19.68,1.18975428703138,1.08276502410603,10.041445017286
quis,dubito,19.24,2.82215489631284,2.16211401369856,9.02326625757943
quis,umquam,17.58,2.48317163724575,1.94297848378189,9.11115576295767
quis,tu,17.13,0.913058906581779,0.895432190943694,10.1466459827172
quis,facio,16.96,1.1645112561923,1.06571004392568,9.96445880242381
quis,exspecto,16.42,2.37625643332924,1.87318272184634,9.10664786651848
quis,nam,16.4,1.71074136242474,1.4328618284965,9.53341597729806
quis,refert,16.19,4.44664576122064,3.14294326671028,8.25140350955401
