lemma,collocate,LogL,LR,MI,LogDice
rex,Deiotarus,101.92,8.44489078073539,5.96331499344335,11.4315602375987
rex,Antiochus,25.54,7.7928140841557,5.64486126232482,10.2045108108278
rex,potens,23.21,5.64985613031365,4.37439871673005,10.3364383538704
rex,Pyrrhus,23.21,7.1553841635404,5.2965545680566,10.1859574029321
rex,appello,11.35,4.10475809047044,3.35064441900129,9.86750367181352
rex,finis,8.82,3.43917712954099,2.89865929525823,9.70044958715036
rex,duo,8.45,3.34068726614163,2.83145054556478,9.6714620502771
rex,timeo,7.91,3.19455476082108,2.73160521059507,9.62634161499663
rex,salus,7.84,3.17483652620658,2.71812186025778,9.62005887181714
rex,nam,7.32,2.51359044022257,2.2647172898605,9.49326988682516
rex,peto,6.62,2.83861777376882,2.48786084117471,9.50576137471919
rex,magnus,6.26,1.77662484605636,1.75730172907505,9.22227804881376
rex,ille,6.04,1.28872341272042,1.42058553051069,8.99337272730128
rex,nullus,5.78,2.16588829033085,2.025532871172,9.33185501485052
rex,ipse,5.41,1.62846580029082,1.65510590835632,9.13760694904484
