lemma,collocate,LogL,LR,MI,LogDice
senatus,consultum,579.02,10.6908659933424,6.14399084632762,12.334009918061
senatus,in,153.53,2.44385555569371,2.20303441804447,10.4791694433933
senatus,frequens,121.34,7.63197230428882,5.34548315010985,11.0804290874116
senatus,auctoritas,107.36,5.16134247904666,4.00019681271733,11.1432561585336
senatus,ab,60.77,2.48198614989984,2.22903098122616,10.3709642227194
senatus,decerno,56.77,5.19901289701272,4.02372731012753,10.6516920822582
senatus,ad,55.76,2.2668163755074,2.08219179521126,10.2619997485511
senatus,ex,31.77,2.30284870799726,2.10680469794547,10.1519823245478
senatus,refero,25.82,4.04700980356767,3.28178996539815,10.1422823394294
senatus,decretum,22.49,5.56158297639742,4.24687086144174,9.77316625473182
senatus,populus,21.78,2.65094997910309,2.34408513902018,10.082537271276
senatus,per,18.06,2.49857317887162,2.24033609056999,9.98271648391436
senatus,appello,17.24,3.85797597917765,3.15662682244414,9.84896009410135
senatus,recito,15.28,5.14654547711858,3.99093748730454,9.48731066680607
senatus,uenio,14.61,2.33429175564814,2.12827538234234,9.87376207400195
senatus,pareo,11.06,4.04700980356767,3.28178996539815,9.43045699165506
senatus,cunctus,10.46,3.88781120871841,3.17642944974032,9.41843967965104
senatus,iudicium,9.75,2.62477680288462,2.32627852037071,9.63181877214817
senatus,careo,9.63,3.66849818031394,3.03047553711724,9.39984235583545
senatus,contra,8.98,2.87708480212535,2.49767100663248,9.52836120663643
senatus,kalendae,7.94,3.21243341277504,2.72444432599727,9.35240909812796
senatus,cogo,7.34,3.04700980356767,2.61274033641727,9.33185501485052
senatus,ago,7.33,1.95672091823856,1.8700289978412,9.54468418066836
senatus,quantus,5.61,2.13053315912995,1.98902166228908,9.36770114662366
senatus,se,5.27,2.45405451209298,2.2099889341807,9.24067913418465
