lemma,collocate,LogL,LR,MI,LogDice
sic,enim,39.25,2.92718966909032,2.48880363988338,10.2435993450106
sic,loquor,26.49,4.11196779862699,3.29013029731437,10.2812150631072
sic,ago,18.19,2.89805353121485,2.46892364015496,9.97576500396493
sic,amicitia,17.86,3.4745378780117,2.86093993845051,10.0234384734343
sic,existimo,16.03,3.65691462050027,2.98427269651276,9.95519588333804
sic,habeo,13.85,2.11215566177471,1.93070113326896,9.69256222231719
sic,uiuo,13.83,3.30461287656938,2.74570467487292,9.86803857420659
sic,inquam,10.85,2.81062403589572,2.40923243825171,9.7219459557091
sic,iste,10.27,2.18913565914945,1.98356462282603,9.62424297833971
sic,eo,7.68,3.13468787512707,2.63019178775108,9.49465014929412
sic,se,7.1,2.97469199092849,2.52120150404267,9.46025761933436
sic,soleo,6.29,2.7466174234485,2.365499233524,9.40656507023033
sic,uideo,5.49,1.38773819238824,1.43214560209478,9.25724415105935
sic,nam,5.18,2.02538923263626,1.87108663939933,9.33656090588793
