lemma,collocate,LogL,LR,MI,LogDice
tempus,breuis,95.53,6.53357899901542,4.89039765777626,11.031418715512
tempus,hic,63.69,2.05900389411758,2.0274034408274,10.2061507315421
tempus,unus,41.59,3.17351577524128,2.78524775938622,10.487522160169
tempus,reliquus,38.14,4.14716217767634,3.4343699586417,10.4810195826815
tempus,quisque,36.52,4.01900582618566,3.34995261682911,10.4561463179363
tempus,ille,35.93,1.89531827213421,1.91530707310961,10.0515517483734
tempus,idem,35.72,2.99279594686281,2.66317488455465,10.3908855143549
tempus,annus,32.77,4.01101303543213,3.34467555972827,10.380113417373
tempus,reseruo,23.77,5.81737196501601,4.4849325496681,9.84699352512931
tempus,o,20.7,3.8598072313364,3.24459210117129,10.0519665570488
tempus,aetas,16.55,3.3038446023378,2.8730285447388,9.95548781152577
tempus,quidem,16.37,2.34771245370408,2.22471385304568,9.96664470940433
tempus,longus,16.23,3.69707773129829,3.13637851653105,9.88585281048172
tempus,exiguus,15.17,5.11854149973657,4.0591001387355,9.55148362405729
tempus,differo,14.97,5.0679154266666,4.02735144042092,9.54953620377289
tempus,is,13.82,1.15005102124258,1.40331387029166,9.59132274057968
tempus,ante,10.79,3.25347107982268,2.83912699306312,9.64650144894066
tempus,publicus,10.27,1.87786372537237,1.90334491794199,9.73185776056684
tempus,fere,10.19,3.81737196501601,3.21642122420459,9.47459478248077
tempus,ad,9.97,1.22834961627449,1.45720726608228,9.58015587982616
tempus,alius,9.21,1.8876632870624,1.91006106970024,9.69004015288448
tempus,omnis,8.91,1.27843799533925,1.4916724652595,9.5763516906353
tempus,pono,8.84,2.84908082474334,2.56583365806344,9.57815187113945
tempus,exter,8.7,3.41810178159548,2.94979256095064,9.43565180853216
tempus,ullus,7.68,2.59946693467187,2.39627435288334,9.52836120663643
tempus,meus,7.3,1.64222925430267,1.74170588976517,9.58644441771746
tempus,bonus,6.66,1.84641163796736,1.88178572135861,9.54856391395395
tempus,accipio,6.47,2.32970666564977,2.21242491191133,9.46740050684674
tempus,uenio,5.89,1.71400812724817,1.79097292566514,9.49926483214879
tempus,totus,5.2,2.03259489093361,2.00932829254241,9.39108682773307
