lemma,collocate,LogL,LR,MI,LogDice
uolo,si,75.64,2.32683447532174,2.13878282911587,10.5949094971581
uolo,scio,39.72,3.2229773551627,2.74042045703868,10.3650488879116
uolo,tu,28.3,1.55718457053025,1.61481226728809,10.1220814065789
uolo,sum,16.27,0.71032322961099,1.03385013858663,9.73928318239162
uolo,quis,14.99,1.23103810392079,1.39149152097032,9.89705059058438
uolo,qua,12.83,1.47006479518429,1.55522017008585,9.87239134413739
uolo,effugio,12.78,4.51995909291983,3.58031772860771,9.09596055216956
uolo,femina,12.05,4.32731401497744,3.45895687160344,9.09102835968024
uolo,imitor,11.88,4.28291989561898,3.43078599463674,9.08979910322551
uolo,impero,11.82,3.47556497356138,2.9075378508722,9.32367261969558
uolo,animaduerto,11.56,4.19803099803247,3.37671877336647,9.08734511426395
uolo,fors,10.88,2.82587486981856,2.47527454960931,9.4631086547652
uolo,interficio,10.57,3.21878955819927,2.7376388140768,9.3063611660243
uolo,saluus,9.97,3.7727251632998,3.10228192766471,9.0727463148428
uolo,ostendo,9.72,3.04191179611519,2.61985577842042,9.29272459107476
uolo,se,9.46,2.58046383187939,2.31019479924986,9.43357064232834
uolo,dico,9.45,1.27576517653704,1.42215258710808,9.76544069937961
uolo,nomino,9.43,3.62687429683635,3.00697174786038,9.06672582706121
uolo,existimo,9.06,2.50969075746601,2.26244036795396,9.42425862470272
uolo,sane,8.49,3.37311770459056,2.83991766319722,9.0547925112262
uolo,occupo,7.78,3.17756689547275,2.71023983988869,9.04417294239874
uolo,qui,7.55,0.576886161004668,0.942028743248459,9.62447594281369
uolo,aliquis,7.3,1.64431943129575,1.674365891854,9.57665149576421
uolo,fio,7.12,1.92643457869525,1.8668104562794,9.46203856370536
uolo,facio,6.98,1.15846284688644,1.34171831420513,9.66598258451248
uolo,sui,6.97,1.03702406120556,1.25837658642025,9.67508852750628
uolo,conseruo,6.91,2.93499659219868,2.54839681443827,9.02902996229617
uolo,seruo,6.79,2.90104926027534,2.52566856336071,9.02672049244751
uolo,accipio,6.61,2.05865505994976,1.95678605309775,9.35560910085863
uolo,ut,6.59,0.830959526412821,1.11680771781326,9.65754830787789
