lemma,collocate,LogL,LR,MI,LogDice
uos,ab,104.68,2.86350482582398,2.43245437607019,10.6693164026655
uos,Quirites,77.43,5.49637115222742,4.14452568469454,10.7926185545575
uos,iudex,42.96,3.96412346830418,3.16939445279745,10.4542213895267
uos,apud,34.91,3.64065320860841,2.95486975550886,10.3271575447959
uos,pater,27.04,3.26051647108441,2.7003913238853,10.1768082082785
uos,obsecro,17.63,5.77147839036179,4.30882873598582,9.39150202391923
uos,os,14.83,4.06452536526202,3.235534255302,9.58720170665936
uos,autem,12.52,2.28245688481527,2.03734738804311,9.77043276783616
uos,hortor,11.81,4.24423138749692,3.35331729095838,9.33971051479083
uos,moneo,11.48,4.15850151347103,3.29722782430734,9.33498981365589
uos,uterque,11.4,3.37916096758302,2.78005872661917,9.52124373886757
uos,spero,10.56,3.2078895404332,2.66498939683438,9.50019032966973
uos,paruus,8.76,2.83103523504224,2.4104595316995,9.44612310839946
uos,quantus,8.27,2.36228714901863,2.09180153135342,9.51361335000188
uos,inquam,7.35,2.19502738949615,1.97765618613986,9.47279135548162
uos,qua2,7.14,2.47956286454086,2.1717080827193,9.38487948315874
uos,iudico,6.96,2.44108871672623,2.14550571032528,9.3774811756773
uos,audio,6.89,2.10806679195528,1.91823276566906,9.45034252394217
uos,ne,6.63,1.36228714901863,1.4068578422463,9.50241502469185
uos,socius,6.59,2.83657341858367,2.41421188131805,9.21947692653405
uos,omnis,6.5,1.11122776233639,1.23415326009171,9.46816885110275
uos,absum,6.28,2.75041677483396,2.35580111916164,9.20835024706929
uos,potius,5.83,2.62053649228705,2.26760840712618,9.19052935049918
uos,fors,5.77,2.60155338891947,2.25470500229027,9.18781564462758
uos,ita,5.77,1.69403430493644,1.63468008655929,9.42700871237614
uos,an,5.73,2.16023656484178,1.95388841265784,9.31902685059641
