lemma,collocate,LogL,LR,MI,LogDice
ab,tu,187.35,2.20995403300259,1.97356658425837,11.1214161978559
ab,ego,171.77,2.03438246841914,1.85773476873325,11.0749945096711
ab,is,124.9,1.61898216389737,1.58123858525674,10.9223308225628
ab,uos,93.63,2.81466914727857,2.36649640827839,10.6033584348737
ab,longe,73.17,4.11927136600565,3.16538600253403,10.0087038136773
ab,maiores,59.92,4.00636809224954,3.09985933902356,9.85127866689983
ab,senatus,57.11,2.5078366539233,2.16840635940973,10.310339600903
ab,sui,48.28,1.55111972583301,1.53578526393657,10.5182385342187
ab,nos,42.01,1.98864192335317,1.8274493731444,10.2760799372997
ab,Mutina,30.96,5.4266998911979,3.85016493342346,8.85250552318655
ab,hic,28.72,0.948429767141148,1.12934520525513,10.441387050311
ab,quintus,28.64,2.74220171692583,2.3199763926435,9.61797336532612
ab,iste,28.54,1.7684884084461,1.68111123305393,10.0947858365012
ab,inferi,28.52,5.94127306402766,4.07330848473766,8.67309517660005
ab,hostis,27.84,2.14129767233565,1.9283523359472,9.8825901648469
ab,amicus,26.86,2.31940587802599,2.04541826866859,9.76163997984468
ab,sueui,26.48,4.76373487847547,3.52166086645142,8.84911978839242
ab,Caesar,26.37,2.00844567923551,1.84056696511088,9.90724400046304
ab,qui,25.29,0.662181167050552,0.934889164729173,10.4464773116977
ab,ille,22.13,0.973732936286732,1.14649590033681,10.3320344461551
ab,Nero,21.47,4.66116514483492,3.46717268116735,8.66824785736573
ab,principium,19.89,5.25677488975559,3.77012222574992,8.44946583465205
ab,pater,19.02,2.02070753152206,1.84868493321333,9.6267618713592
ab,se,18.95,2.45150328219847,2.13173673728095,9.38128558890415
ab,tergum,18.21,4.10477179631054,3.15701775286351,8.66438684870827
ab,Marcus,17.91,2.23687533231788,1.99126616135777,9.4474397642842
ab,barbarus,17.87,4.04818826794417,3.12422793004052,8.66390526911793
ab,mortuus,16.52,4.51980929558938,3.39063260404501,8.4465560362847
ab,ortus,16.08,4.4266998911979,3.33933930965746,8.44607189200025
ab,abduco,14.92,4.17877237775431,3.19957736728231,8.44462086393429
