lemma,collocate,LogL,LR,MI,LogDice
aetas,ineo,45.51,7.01201859658686,5.28977254309584,10.9795751138556
aetas,ago,20.68,3.4495109466934,2.95708046410823,10.0598061176052
aetas,ludus,18.15,5.82915453943705,4.55116298845914,10.2783307230631
aetas,uel,17.44,3.87097471513167,3.24463359580811,10.1287989890921
aetas,iam,16.98,3.01969809473415,2.66265137810986,9.84000146755646
aetas,ille,12.95,1.81155072096613,1.83096465342128,9.19325044061354
aetas,omnis,12.55,1.98545777031572,1.95094549216014,9.28911935958979
aetas,tempus,12.37,3.0605921003765,2.69070698794485,9.77316625473182
aetas,per,10.54,2.75386641213281,2.48008969644982,9.62047649554424
aetas,primus,8.98,3.48000497581466,2.977928124689,9.75150475795064
aetas,neque,6.12,2.24419203871589,2.12931447463828,9.30065664399466
aetas,animus,5.82,2.17503001420849,2.08165202414911,9.2638015516055
