lemma,collocate,LogL,LR,MI,LogDice
ago,gratia,152.61,5.94693672302288,4.4870063136146,11.3987928945158
ago,quis,115.65,2.82450457144647,2.47463021818808,10.6547409111235
ago,nihil,40.98,2.90453115675788,2.52888710492251,10.3996482233937
ago,is,31.03,1.56186755120284,1.61192851230285,9.86245788874453
ago,aetas,26.4,3.740144338857,3.09061185673276,10.1933375102297
ago,ut,26.04,1.66047397113137,1.67964204731048,9.88503615057516
ago,seuere,20.75,6.61050905844041,4.85803922530128,9.51888246268189
ago,sic,17.38,2.8160931920903,2.46892364015496,9.97576500396493
ago,ubi,16.69,2.99495823788583,2.59011383413295,9.94202308194877
ago,currus,16.04,5.34747465260661,4.12715171675849,9.49281022237211
ago,coepi,15.6,5.23199743518668,4.05569275277634,9.48914049348315
ago,bene,13.12,3.19366931652758,2.72432805368739,9.75150475795064
ago,uita,12.46,2.47534947515877,2.23720022135122,9.79958089138642
ago,aliquis,12.24,2.24944256964609,2.08304954152396,9.79437497960908
ago,cum,11.56,1.22359959750601,1.37933828248426,9.58662467259834
ago,alius,9.26,1.89420401859599,1.83996230924242,9.66107660574362
ago,negotium,8.55,3.37784830165013,2.84827760425943,9.37176454108091
ago,res,7.69,1.17554729825315,1.34626419170401,9.50204389831906
ago,malo,7.62,3.12508223127016,2.67805645439957,9.3428700750812
ago,senatus,7.21,1.93808371646891,1.8700289978412,9.54468418066836
ago,coepio,6.77,2.88804303396932,2.51771380432439,9.3117149073014
ago,hic2,6.58,2.83440507036724,2.48134616015351,9.30407545074344
ago,annus,5.04,2.38554269344013,2.17596451060233,9.23072880333148
