lemma,collocate,LogL,LR,MI,LogDice
atque,simul,44.08,3.36253788667688,2.65391062317337,9.65133626899524
atque,utinam,36.08,4.43058327409998,3.27535079311713,9.11593624759321
atque,fortis,33.35,2.67141604455927,2.21966354916605,9.67664676701129
atque,imperium,33.22,2.66459477870326,2.21528717456625,9.67625697944058
atque,etiam,32.6,1.57225443206514,1.4983517394722,10.2213618777829
atque,ita,32.22,1.94880422394488,1.74860459652814,10.0106730766966
atque,sceleratus,29.86,4.65297569543643,3.39441015313312,8.87010128507693
atque,ornatus,28.85,4.52744481335257,3.32771877863445,8.86925633361136
atque,honestus,27.09,3.32319973872638,2.62974455732618,9.20173318405
atque,perditus,26.9,3.87878763731402,2.96341174301979,8.99437724772729
atque,bonus,26.53,1.85934775649033,1.68940086199024,9.90426751250305
atque,templum,25.51,3.43058327409998,2.69553229786419,9.10216020004909
atque,liberi,25.06,3.38751455220809,2.66921498954681,9.10133135623869
atque,integer,22.83,3.44707139688855,2.70558263371769,8.98811548650331
atque,usus,22.41,3.13512739057381,2.51321074107023,9.09596055216956
atque,incredibilis,22.15,3.37431505445323,2.66113087114686,8.98686782570516
atque,inopia,21.67,3.65297569543643,2.82988035039527,8.86084585510277
atque,barbarus2,20.67,4.53951764565314,3.33419129314006,8.53659201358637
atque,socius,19.77,2.68446598156424,2.22803179883657,9.18375884393197
atque,sapiens2,19.47,3.38448685951052,2.66736142089749,8.85708409518087
atque,diuinus,19.24,3.35751981191026,2.65083211894628,8.8566669940278
atque,amicus,18.78,2.00737184337543,1.7872737376873,9.52001517943505
atque,ibi,18.69,3.00127164383902,2.42932925708953,8.97941437505058
atque,agrestis,18.56,4.98312429712876,3.56303286556891,8.31684549313977
atque,flagitium,18.13,4.10341853084647,3.09302923632318,8.53405179206801
atque,furiosus,17.94,4.84562077337882,3.49403999408196,8.31642023266132
atque,hinc,17.24,2.62948734251406,2.19273884579546,9.08204870750511
atque,miseria,17.09,3.92654076876239,2.99124654201323,8.53278409699015
atque,amans2,16.35,4.49769746995852,3.311718437288,8.31514553522932
atque,auaritia,16.16,3.76899949177591,2.89887322188222,8.53151800692864
