lemma,collocate,LogL,LR,MI,LogDice
bonus,uir,462.38,5.75852391965051,4.4069367710697,12.1012989871168
bonus,quisque,117.75,5.17624450514233,4.05635705139284,11.1992781430516
bonus,ars,81.95,5.75900441758698,4.40721802546615,10.875434854603
bonus,Iuppiter,60.39,5.46918406873024,4.23504884013621,10.6437365908171
bonus,ciuis,31.13,3.36438787871863,2.88204045664979,10.3202530294493
bonus,adolescens,28.33,4.33450658905907,3.52253263300733,10.1528965406712
bonus,mens,28.21,3.92345260369872,3.25366170705423,10.2073237522044
bonus,mos,26.37,3.74014539033566,3.13247615025201,10.17817526249
bonus,atque,25.78,1.72571518264642,1.76944356966378,9.98431022017659
bonus,spes,21.53,3.25120977738828,2.80614836270256,10.0854801143733
bonus,deus,17.06,2.57833912186025,2.35151276368514,9.98361697924761
bonus,condicio,15.39,4.1772091959445,3.42015822270379,9.65619457814632
bonus,magnus,15.32,1.83075878192307,1.8414143321987,9.883288407631
bonus,consulo,11.19,4.08409979155302,3.35924946961679,9.39150202391923
bonus,qua,10.59,1.535882072106,1.63923390524758,9.72013387825328
bonus,pater,10.38,2.43139268419603,2.25158734542877,9.70498474231575
bonus,et,8.43,0.739067223451245,1.09107752589683,9.43812196211423
bonus,facio,8.25,1.39114905225013,1.53984535613429,9.62634161499663
bonus,animus,8.09,1.74630637496233,1.78355638132886,9.63690137521164
bonus,multo,7.94,3.21468390136316,2.78161517617869,9.32250915243228
bonus,causa,7.36,1.7877634105684,1.81196331850928,9.59154010825796
bonus,malus,6.69,2.86567627241952,2.54630108924423,9.28299033225637
bonus,consul,6.63,2.05798073058914,1.99687529221456,9.49465014929412
bonus,quisquam,6.49,2.33539086431868,2.18620458616591,9.41503252132943
bonus,pars,5.94,1.92531534771591,1.90614643882479,9.45776961378578
bonus,semper,5.51,2.1068198680531,2.03024722111371,9.36527101177036
bonus,gratia,5.48,2.51775296899921,2.31033684950096,9.23498111307001
