lemma,collocate,LogL,LR,MI,LogDice
ceterus,que,58.74,2.47102219860696,2.29975334731371,9.95164649280802
ceterus,praeter,30.47,5.1027925897258,4.07624534441097,10.5447353970676
ceterus,nam,27.25,3.51155749198911,3.01110898493925,10.2810225147288
ceterus,par,23.49,4.81174380772241,3.8847071325121,10.3597857178673
ceterus,cum,17.46,1.75955691646952,1.81026999702949,9.44860296087924
ceterus,cum3,15.8,4.23605912058926,3.50088119950741,10.0879769945719
ceterus,lentulus,14.13,4.82102162131042,3.89084212107961,9.97167653887569
ceterus,res,14,1.81054383950314,1.84540415627577,9.45425323448271
ceterus,et,13.44,1.17967353232539,1.41023464031791,9.09714981092591
ceterus,ab,12.62,1.78511396783979,1.82788180558357,9.42959380644825
ceterus,gens,11.39,4.1170064489455,3.42083849183388,9.86217032583816
ceterus,de,7.42,1.65595254852151,1.73885632922224,9.29781653984191
