lemma,collocate,LogL,LR,MI,LogDice
ciuis,romanus,192.66,5.20902750737082,4.11351380440876,11.5448098225405
ciuis,perditus,55.32,6.53909367170186,4.93620989522891,10.8429995788499
ciuis,impius,39.41,6.26491870826286,4.77369096573113,10.5714036441497
ciuis,improbus,38.65,5.4507852535742,4.26859601667413,10.6180339802657
ciuis,bonus,31.18,3.35870085458348,2.88204045664979,10.3202530294493
ciuis,perniciosus,30.23,7.05846783079544,5.23044936822685,10.2387998843064
ciuis,egregius,29.63,5.76372456523431,4.46620626598317,10.3729959496042
ciuis,salus,20.19,3.78213660234819,3.16870740364641,10.1768082082785
ciuis,fortis,19.99,3.75590506077501,3.15100782654701,10.1695486482657
ciuis,concordia,18.56,5.96535842640396,4.59136940893718,9.92812829362996
ciuis,sceleratus,18.11,5.84988120898402,4.51991044495504,9.92246255609428
ciuis,caedes,17.79,4.62550842351933,3.73223709090297,10.0632843819815
ciuis,omnis,14.96,1.80260745784938,1.81679852549341,9.57216382929482
ciuis,clarus,14.75,4.03462108884107,3.33860644044181,9.96797420217716
ciuis,nefarius,13.8,4.74296600506751,3.80966883103579,9.84111691664033
ciuis,sanguis,12.47,4.40057380762043,3.58314118173734,9.80279805233819
ciuis,Italia,9.95,3.74296600506751,3.14227414657826,9.70498474231575
ciuis,multitudo,9.71,3.67995620754171,3.09971453215946,9.69368518706181
ciuis,o,8.85,3.45228884416458,2.9455638523322,9.6497220636407
ciuis,suus,8.77,1.83093210618303,1.83629426919011,9.48845391604458
ciuis,et,6.73,0.838869040410346,1.15216881661063,9.00956741322126
ciuis,uirtus,6.45,2.32150223662923,2.17347346943214,9.48776780967118
ciuis,periculum,5.57,2.53909367170186,2.32268586761882,9.41843967965104
