lemma,collocate,LogL,LR,MI,LogDice
contra,natura,48.02,4.88057678501146,3.94964148661333,10.8095236496535
contra,res,39.82,2.84158265339559,2.56169286539741,9.8162549416988
contra,auspicium,34.09,7.74847324900411,5.74804549856005,10.7613215478356
contra,uis,23.04,4.14361119084525,3.4521493937168,10.3069625357374
contra,patria,18.17,4.68238405854634,3.81652408695684,10.3048899961354
contra,boni,15.37,5.12398238409632,4.11229027780858,10.2272390619054
contra,arma,14.48,3.97368618940294,3.33660600065392,10.0706283562372
contra,uiuo,13.77,3.83558391277415,3.24251956156931,10.0179846227518
contra,tu,13.09,1.92192476171319,1.92813778203971,9.1930027625937
contra,Milo,12.62,4.42654515411675,3.64391134428984,10.0649117216409
contra,lex,12.42,3.56856415898918,3.06019800477536,9.90983080918838
contra,populus,11.28,2.87810852942071,2.58679878652849,9.65101321940432
contra,qui,9.8,1.14373471454419,1.39056773680758,8.70293341535362
contra,sui,9.73,1.94838226137911,1.94639555061327,9.18426504490456
contra,fortuna,8.58,3.37343381765719,2.92666661215084,9.71411722587902
contra,senatus,8.41,2.74847324900411,2.49767100663248,9.52836120663643
