lemma,collocate,LogL,LR,MI,LogDice
corpus,uis,25.49,3.99359777128372,3.34896515748157,10.3549231685445
corpus,tego,17.34,5.6341525979682,4.43756066790621,10.1534047998943
corpus,uoluptas,16,4.27308610917388,3.53768296567338,10.1419053365974
corpus,humanus,13.85,4.74662732722661,3.85495536174609,10.0391868304024
corpus,magnitudo,13.7,4.70815317941197,3.82931293113275,10.0328576953508
corpus,suus,12.17,2.23669187191348,2.14784877784837,9.55002270341761
corpus,totus,9.9,3.06277916199499,2.71500173292154,9.75329206852474
corpus,tuus,8.94,2.2078878432661,2.12802305559728,9.47821142295096
corpus,pars,8.51,2.77120534994727,2.51518101626109,9.63372172229426
corpus,animus,7.59,2.23361466838447,2.14573088083363,9.44928599980797
corpus,et,7.45,0.980734245241489,1.28140176847494,8.83965243267542
corpus,nec,5.21,2.03126818924978,2.0063982941249,9.28822007895365
