lemma,collocate,LogL,LR,MI,LogDice
defendo,actum,30.55,7.04180810135433,5.24661166600736,10.6544915241984
defendo,libertas,17.72,4.59702325868143,3.66331903367759,10.230116761733
defendo,infero,16.58,5.42746179385208,4.21852952814509,10.2272390619054
defendo,causa,15.58,3.16007098297415,2.68414678187349,9.80154570402173
defendo,neque,14.37,2.99364081889382,2.56987090255771,9.71411722587902
defendo,que,12.93,1.72523324096117,1.69588255037424,9.04038813117618
defendo,publicus,12.58,2.74322219024848,2.39770926465391,9.57815187113945
defendo,romanus,8.36,2.73870388075862,2.39460077598365,9.48229583979318
defendo,sui,7.5,1.8031506256551,1.74968525636722,9.04467608706344
defendo,consul,6.88,2.90998288984691,2.51238381164003,9.47459478248077
defendo,possum,5.22,1.5929397715485,1.60450827669116,8.89861034263528
