lemma,collocate,LogL,LR,MI,LogDice
ego,ad,147.53,1.86839210534214,1.64624649714924,10.9788418415955
ego,ab,111.47,1.81908990559417,1.61385531893986,10.8311150598778
ego,quidem,78.71,2.38597909857408,1.9823916317009,10.3770489213127
ego,uero,74.97,2.95808074395098,2.3434721792812,10.1007859528644
ego,scribo,74.38,2.72512950250328,2.19800273931911,10.1873494683851
ego,credo,73.39,3.18497006762819,2.48277260414525,9.99423544254016
ego,cum,56.96,1.23870254008266,1.22870545418968,10.6455075794144
ego,autem,52.12,2.24382247135672,1.89084210227489,10.0980273304254
ego,qui,45.98,0.763483879860758,0.909155998247884,10.6983811538849
ego,hic,43.27,1.00604340532632,1.07265210937322,10.6060559992616
ego,uideo,39.34,1.40807756437564,1.34176727055986,10.3454759210322
ego,ualde,36.57,3.8721505651638,2.88708762587018,9.08201176828858
ego,de,34.01,1.32094847034332,1.28366778576164,10.3022959609584
ego,amo,28.79,2.90768954636762,2.31220436580397,9.22736161392294
ego,quis,25.24,0.957755262834901,1.04016504485121,10.3686466743836
ego,Hercules,25.02,4.61239129136287,3.28425393116365,8.48858941799126
ego,ipse,24.55,1.22926304003877,1.22239022074779,10.1463125715848
ego,si,24.43,1.02234759530808,1.08361388332007,10.3028883941861
ego,inquam,22.32,1.93550630120067,1.69024544729441,9.53863941078304
ego,apud,21.99,2.0541957002045,1.76777602118892,9.44550410497517
ego,nunc,19.94,1.65397039511427,1.50496863616077,9.6450409550342
ego,mehercule,19.13,3.7544102962353,2.81994832303255,8.48422186527325
ego,tu,17.39,0.817975425012762,0.945950755567523,10.2783307230631
ego,rescribo,17.1,4.70550069575435,3.33077394679854,8.08582154685209
ego,enim,16.51,1.13157224530817,1.15695029962693,9.94821505219669
ego,hic2,15.77,2.32698907250062,1.94447958567865,8.96045336240933
ego,pro,13.92,1.61380086161754,1.47838985575405,9.36254415051394
ego,tuus,13.05,1.12397727899996,1.15185651690668,9.77891790457478
ego,nihil,12.23,1.1298160086212,1.15577250624703,9.72199930184551
ego,quod,12.13,1.07822739017523,1.12115484459261,9.77186366238924
