lemma,collocate,LogL,LR,MI,LogDice
etiam,sed,653.36,3.96353345737214,3.26532297921371,11.9171857738415
etiam,uerum,427.2,6.5496003017857,4.65985522387646,11.743861665251
etiam,si,187.99,2.74077399251143,2.47521551737932,11.1555379434079
etiam,quin,83.11,4.84916058364461,3.79965395865335,10.5068651230122
etiam,tum,60.56,3.04676054352977,2.67689120975296,10.5744352618896
etiam,nunc,35.7,2.57666584856175,2.36624167455639,10.2889986287988
etiam,multo,25.47,3.67923558220229,3.08588749089067,9.70441672185174
etiam,addo,23.17,4.23248922319611,3.43192917852803,9.45670521773
etiam,nonnullus,22.94,4.20146232757549,3.41288098355734,9.45581908563834
etiam,posteri,20.94,5.36373375647436,4.08733603110513,9.08184555869791
etiam,accedo,17.67,3.1329535496452,2.73330253220346,9.55064855093987
etiam,ille,16.6,1.06095676193191,1.34181988808299,10.111586860211
etiam,deinde,16.26,2.71165705989467,2.45591921195226,9.63372172229426
etiam,obsum,15.47,5.29661956061583,4.05096838693426,8.79782649400487
etiam,num,14.9,3.09783969650133,2.71034406264756,9.40909778580961
etiam,atque,13.68,1.04555779644811,1.33129765480903,10.0543077931197
etiam,aut,12.86,1.34200023452708,1.53355997424172,9.97777820227378
etiam,studium,12.54,2.29457173196697,2.17779352622069,9.58795956952247
etiam,imperitus,12.33,4.43412308436576,3.55453150062037,8.78960351482443
etiam,plane,12.28,3.58612617781081,3.02646407041987,9.05124010962183
etiam,augeo,11.46,3.4162011763685,2.91726477845488,9.04593505739214
etiam,adiuuo,9.51,3.66858833800279,3.07910780390529,8.77694511795251
etiam,hercle,9.51,3.66858833800279,3.07910780390529,8.77694511795251
etiam,orno,8.66,3.43412308436576,2.92882560085595,8.77156876091613
etiam,necesse,8.52,2.79604924718504,2.51179967034671,9.02068338916117
etiam,inuitus,7.6,3.14134133513792,2.73878199796809,8.76355803717005
etiam,libenter,6.74,2.89807018412555,2.57915185237621,8.75561097547752
etiam,spes,6.32,1.79604924718504,1.84190935195104,9.29122083139289
etiam,saepe,5.71,1.68996198879535,1.77004479072139,9.27704677835553
etiam,sine,5.7,1.53965174801131,1.66802666380295,9.37362760636131
