lemma,collocate,LogL,LR,MI,LogDice
ex,qui,105.31,1.3763497308379,1.45077704748079,10.6261367208392
ex,is,89.42,1.63916124851286,1.62893334557155,10.6795891491561
ex,urbs,80.23,3.42381712231133,2.80885071364754,10.5764355881909
ex,captiuus,53.51,7.79013933655715,4.90519406612998,9.41576165005294
ex,omnis,51.94,1.7407096273014,1.69757011805922,10.5187599106643
ex,pars,41.8,2.76555369827887,2.38164962363657,10.2203661826176
ex,castra,39.65,3.23862331892913,2.68995098329108,10.0385521112443
ex,hic,38.21,1.23255077134229,1.35301306983727,10.3818618393823
ex,unus,37.53,2.35659925105187,2.11085738839609,10.252544055866
ex,contrarium,33.42,6.71975000866575,4.56872182950877,9.07928941343173
ex,aliquis,33.24,2.31170675598979,2.08093333334588,10.1796746597526
ex,senatus,29.3,2.27360988638084,2.05551140355792,10.1006890301602
ex,ager,26.7,3.26031839002845,2.70393722526582,9.68117944122991
ex,Sicilia,26.2,4.14628314678242,3.2600380710938,9.38276008992458
ex,fuga,25.04,3.64293441161492,2.94798436182073,9.4939597799191
ex,praeceptum,24,4.35829354959175,3.38773854340753,9.23853856968554
ex,oppidum,22.11,3.33892822472482,2.75448950442866,9.48093251306532
ex,locus,20.86,1.97221517278936,1.85356680278281,9.96367927789428
ex,iter,20.06,2.88592287524695,2.4606535664025,9.561934405001
ex,exeo,19.84,3.39782191377839,2.7922298324115,9.35904907673107
ex,altum,18.21,4.81285941305723,3.65243109763461,8.84815453735222
ex,Britannia,17.83,4.73485690105596,3.60797933506378,8.84743121001508
ex,pompeianus,16.32,5.5677469152207,4.05789620574278,8.56846378966574
ex,ille,15.52,0.981175161637886,1.18169362222834,10.1137833223509
ex,alius,15.3,1.63561902811316,1.62653700739713,9.89153984687062
ex,gemma,12.45,4.48028407397036,3.46005920498716,8.5619206910768
ex,littera,12.4,2.11928641440441,1.95228494632956,9.49342315527515
ex,manus,12.19,1.96486250650228,1.84862328989038,9.56088439834199
ex,portus,11.94,3.52335279586225,2.87227254008504,8.82951600496185
ex,inopia,11.48,3.42819556282191,2.8116479182686,8.82738758982702
