lemma,collocate,LogL,LR,MI,LogDice
fides,iustitia,32.34,7.38428510975983,5.53297794879562,10.8013268824493
fides,uirtus,15.66,3.58953022448186,3.05054348815301,9.95169937627931
fides,recipio,13.02,4.52702528187591,3.68910247842856,10.0980273304254
fides,meus,12.91,2.79063688117245,2.50206921644091,9.56918320115669
fides,publicus,9.59,2.58953022448186,2.3636036521674,9.42322928853361
fides,uester,7.68,3.13086579280276,2.73599777343168,9.57515336814319
fides,habeo,7,2.12386665213305,2.04254943340553,9.15109962908931
fides,et,6.87,1.10135114648833,1.33609165477156,8.5619206910768
fides,tuus,5.74,2.15630300672775,2.06492990623752,9.13728483598037
fides,atque,5.68,1.52908774833281,1.63180726819652,8.81261419415925
