lemma,collocate,LogL,LR,MI,LogDice
homo,perditus,53.5,5.42371215636358,4.14300856057066,10.1403234749441
homo,genus,48.42,3.5404728288197,2.9918782376191,10.4130148535674
homo,nobilis,41.64,4.4593360660943,3.57502452296472,10.1000495758061
homo,mille,40.52,4.07327763378722,3.33386246614783,10.1595706477589
homo,honestus,35.77,4.30733297264925,3.48083730790502,9.99570171846268
homo,sapiens2,29.84,4.5387705335887,3.62381468713415,9.7742095516444
homo,occido,29.58,4.08429663474737,3.34083113546392,9.87589439061707
homo,memoria,25.59,3.39085632821153,2.89429986240333,9.92623614547792
homo,multitudo,25.3,3.65198114403669,3.06419889919873,9.84699352512931
homo,doctus,24.01,4.97390923892406,3.88517945126856,9.46632581571698
homo,audax,23.1,4.82706785059478,3.79816807427893,9.4631086547652
homo,amens,21.15,5.37187322484396,4.1140210236974,9.25615541932415
homo,numerus,20.82,3.49850666337497,2.96456905824989,9.71739914546413
homo,certus,18.84,2.9836026351279,2.62594396826757,9.78417554024019
homo,sceleratus,18.42,4.81547987631957,3.79124763143435,9.24748797611398
homo,ferus,17.36,4.60135507096672,3.66203589995435,9.24318226440277
homo,post,14.02,2.96748296976462,2.61524867915082,9.53889265868877
homo,fama,13.8,3.32183254234436,2.84908751958178,9.40387055866406
homo,existimatio,13.21,4.65198114403669,3.6928075586211,8.96521424567146
homo,circiter,11.47,4.18631757168788,3.40512548616932,8.95657488308075
homo,armatus,10.46,3.91501554987049,3.23327522924266,8.95014399275046
homo,improbus,9.9,3.08429663474737,2.69263534276624,9.18679990050775
homo,deus,9.87,1.83809817898159,1.85579149780493,9.68251188646369
homo,atque,9.71,0.985474239767758,1.27372230378356,9.86945951164643
homo,graecus,9.62,3.68674656219737,3.08667175505079,8.94375419465169
homo,ordo,9.56,2.60135507096672,2.37105171863878,9.34794622811306
homo,sancitus,9.49,3.65198114403669,3.06419889919873,8.9426931865946
homo,ample,9.01,3.52073661075844,2.97904109085842,8.93846037604198
homo,nouus,8.77,2.1925495253994,2.09594842839386,9.4505187198725
homo,inuitus,8.67,3.42958872270024,2.91961767038762,8.93529748463347
