lemma,collocate,LogL,LR,MI,LogDice
in,senatus,150.43,2.67676698438077,2.09514545603329,10.3712804813821
in,is,149.35,1.27050535876661,1.22059270678951,11.1005860187878
in,hic,145.1,1.29867970734259,1.23886328034716,11.0695653432119
in,castra,111.9,3.21847628714805,2.40318845113398,9.86022187070042
in,Epirus,104.04,6.00697218195434,3.53354943811667,9.08257708762592
in,forum,102.16,3.96938899914618,2.79067105669171,9.50810688774759
in,exilium,98.14,4.57887852985004,3.06354580887094,9.30006523756749
in,Gallia,95.47,3.44086870848449,2.52320612459178,9.62083459760715
in,prouincia,80.05,2.91930084369649,2.23561475097458,9.66553961662041
in,res,78.86,1.26977071841118,1.22011599868561,10.6900085223844
in,qui,77.08,0.744394534654,0.875624478240563,11.0685418821535
in,Asia,70.96,3.90346760620047,2.75878172920197,9.17005123644554
in,tantus,63.41,1.98365291136921,1.67489573405859,9.97027781987405
in,campus,62.5,4.55951320498311,3.05551363717367,8.85778834811503
in,Africa,62.21,4.8034387878692,3.15349404553388,8.79434631831538
in,ager,58.14,2.98693442871779,2.27407384946805,9.32483744219187
in,contio,56.42,3.66448276458466,2.63957722919821,9.0238108704639
in,formianus,55.4,5.79655240228396,3.47932788395003,8.48712125843225
in,medius,54.7,3.32733976285408,2.46244991517071,9.11972652376699
in,primus,51.68,2.50447184142515,1.99310439716952,9.45457981841768
in,urbs,43.07,1.98348382903197,1.67479032110324,9.61226054791943
in,Italia,42.78,2.89654819226068,2.22260451423857,9.06732624737346
in,medium,42.45,6.14447570570427,3.56633926093966,8.16976844485611
in,oppidum,41.05,2.91666978818146,2.23411212109005,9.01729501030658
in,conspectus,40.69,4.35597981089798,2.96850226018404,8.48492305274768
in,Sicilia,39.47,3.52556587305978,2.56781043082854,8.72115674328734
in,amicitia,39.1,2.13827055617756,1.7707556952732,9.41274801106603
in,Capitolium,37.67,3.82254761081691,2.71904140055246,8.56974104556423
in,introeo,36.67,4.72943820642543,3.12450650866062,8.28590055837287
in,altum,35.65,4.61396098900549,3.07798649302573,8.28571729070993
