lemma,collocate,LogL,LR,MI,LogDice
inter,sui,234.16,4.25158026907256,3.53180609675751,11.1358639467201
inter,intersum,48.49,5.86037389374254,4.58158834010202,10.8781858879749
inter,nos,26.6,3.01673644474379,2.69500495414754,10.135449844962
inter,boni,19.44,4.93733587555743,3.98728699417871,10.2073237522044
inter,medius,17.78,4.61936579423875,3.77721552443185,10.157863122036
inter,duo,17.22,3.84175821557519,3.25591860079856,10.1329743605026
inter,iste,12.11,2.42672071629635,2.29083770475498,9.71838582536657
inter,magnus,9.68,1.94352505296422,1.95862623299462,9.4939597799191
inter,multum,9.51,3.62466009390826,3.10893641044992,9.75867324742925
inter,se,7.97,3.21227704807539,2.82847458597162,9.65619457814632
inter,is,7.6,1.12469699554491,1.3940210827162,9.07705813361892
inter,uita,6.97,2.437162463018,2.29800619423359,9.53552969611505
inter,saepe,5.88,2.62997389380473,2.43028223719254,9.47821142295096
