lemma,collocate,LogL,LR,MI,LogDice
itaque,hic,15.28,1.75013991113297,1.40384207573857,9.09127439240384
itaque,exspecto,10.41,3.85658395402606,2.85089323764542,9.66270925916751
itaque,ego,10.28,1.66213663344968,1.34307751875853,9.01111468260004
itaque,tu,10.27,1.75820289841664,1.40940869051063,9.0622938859265
itaque,dum,9.87,3.71533802859031,2.75456212870698,9.62424297833971
itaque,ille,9.08,1.6337793929808,1.32349440633537,8.98470889436755
itaque,nemo,7.74,3.14792372908,2.36625009982507,9.44612310839946
itaque,ut,6.19,1.3889318285838,1.15435031964618,8.82134242912121
itaque,cum,6.05,1.37066649769248,1.14172862727174,8.80982479207167
itaque,omnis,5.84,1.5550560302735,1.26912185792945,8.89795823957989
itaque,in,5.18,1.01866288544062,0.898399057175618,8.60707199897172
itaque,nunc,5.16,2.41601136264008,1.86306605544604,9.15975769183243
