lemma,collocate,LogL,LR,MI,LogDice
legio,martius,107.08,9.64481265998305,6.57447565539745,11.6727222944156
legio,decimus,67.22,8.62773914662411,6.13078933446908,11.3063385363499
legio,duo,58.36,5.65991955237326,4.36720074220772,11.0476972843733
legio,tres,40.27,6.32288456509569,4.79798365830018,10.9203862424653
legio,quartus,27.68,6.48158231111475,4.89907977517155,10.6413622327566
legio,hiberna,25.4,7.6854546444804,5.62833196037361,10.49344210268
legio,singulus,23.65,5.71802250693683,4.40542195502792,10.5187599106643
legio,impedimentum,21.17,6.58591897092948,4.96503774296335,10.4164810615439
legio,conscribo,13.55,4.65991955237326,3.69937136963207,10.0879769945719
legio,unus,12.22,3.03501830628196,2.59055491078972,9.65101321940432
legio,uirtus,10.9,3.26399087604212,2.74781249892046,9.70441672185174
legio,reliquus,10.67,3.92295395820705,3.19885511552494,9.86217032583816
legio,noster,10.58,2.76013334346469,2.40148796585623,9.50352923093525
legio,cum,9.78,1.70817472098048,1.6759576594219,8.9459859826018
legio,gero,8.93,3.46490356996812,2.88559620128351,9.68920087461449
legio,Caesar,5.88,2.62553082682834,2.30881260972572,9.31018233995162
