lemma,collocate,LogL,LR,MI,LogDice
modus,is,123.83,2.74966117810272,2.51544992509607,10.369351319144
modus,quomodo,123.1,6.81246196511879,5.12858340102807,11.4837276909338
modus,nullus,90,4.21293717019474,3.50485527816298,10.992382119212
modus,ad,75.66,2.75216061786579,2.51715756771612,10.3240510073651
modus,quisquis,56.58,5.16396663994603,4.12873552703237,10.9027783302757
modus,quidam,43.19,3.96756942714253,3.34082297735987,10.6255459433134
modus,possum,40.8,2.53810347869118,2.37076492707524,10.1302204534395
modus,quisnam,33.54,5.50850730397169,4.34834502546352,10.4909452224814
modus,prope2,23.38,7.26931964009226,5.37498381450655,9.94532069417033
modus,naturalis,18.34,5.91568268547756,4.60179392627306,9.9056554377779
modus,excedo,17.88,5.79538845175985,4.52768595411934,9.90011525740228
modus,idem,15.24,2.58281911290904,2.40136934620617,9.9056554377779
modus,ullus,14.68,3.44150061547494,2.98622102527145,9.98903704671695
modus,hic,12.23,1.2985426616329,1.5187378245474,9.36599943234403
modus,quicumque,11.3,4.09939463864995,3.42907366545123,9.7562780367033
modus,iste,10.01,2.15384242267232,2.10731782546891,9.66457841859021
modus,aliquis,9.76,2.33595683312255,2.23226935060391,9.69368518706181
modus,pecunia,8.55,3.3731554510768,2.93990953846642,9.63690137521164
modus,certus,6.91,2.92354480325053,2.63414379058134,9.53793065765258
