lemma,collocate,LogL,LR,MI,LogDice
nam,si,81.9,3.07033512377976,2.28913661834658,10.3564507933854
nam,ut,41.89,2.26611249973274,1.73858458294393,9.86246587778357
nam,cum,41.35,2.24773397041788,1.7259628905695,9.85158821650762
nam,ceterus,34.37,4.13708659421048,3.01110898493925,10.2810225147288
nam,quod,26.02,2.80804487386121,2.11000654281053,9.96061039865141
nam,et2,19.76,4.24054583569749,3.08036449595496,9.88748813382245
nam,quis,18.49,1.82149689892087,1.4328618284965,9.53341597729806
nam,quoad,17.67,5.73306208765405,4.05256285976742,9.57315934953633
nam,ego,12.38,1.48841119392665,1.20339294282959,9.32892503912419
nam,profecto,11.5,4.14809958693289,3.01848909223688,9.46382268549886
nam,Cato,10.78,3.96168646270201,2.89332594928287,9.44262047784826
nam,et,9.94,0.995498683409722,0.863304011909801,9.06926853433256
nam,rex,9.75,3.03453702810969,2.2647172898605,9.49326988682516
nam,cum3,9.5,3.62525879811954,2.66626849864752,9.39816871527742
nam,sic,7.06,2.45918612217283,1.87108663939933,9.33656090588793
nam,de,6.07,1.47177769960584,1.19192570081413,9.19137889604344
