lemma,collocate,LogL,LR,MI,LogDice
nemo,umquam,100.32,6.0151870398884,4.56659341437394,11.3454384838488
nemo,possum,42.94,2.78867851007972,2.42016905213518,10.0564783275125
nemo,sum,29.27,1.36275269465814,1.43889175610383,9.19868380231994
nemo,adhuc,18.08,4.67415012205334,3.69716699147601,10.1184362020566
nemo,praeter,17.4,4.54356601224319,3.61015561448638,10.0955052609926
nemo,nisi,16.66,3.30933197826223,2.77617353007494,9.98964109385099
nemo,qui,16.6,1.22608382238702,1.3445419144123,9.09534269611036
nemo,enim,14.83,2.35323480013904,2.12128238067054,9.67072971776543
nemo,tam,13.29,2.84597465641113,2.45942732467925,9.79904570271964
nemo,arbitror,13.24,3.73621109018559,3.06654016789739,9.91612673764519
nemo,praeterea,12.7,4.45392879975852,3.55025747290531,9.86483344325764
nemo,habeo,8.51,1.94807284402987,1.84249369683738,9.39769104629294
nemo,scio,8.51,2.77233051599224,2.40896445312232,9.60555084532756
nemo,ut,7.62,1.32663365090744,1.41396037331927,9.10652293679129
nemo,itaque,6.16,2.71002715838193,2.36625009982507,9.44612310839946
nemo,ubi,5.95,2.64905914109051,2.32443216014175,9.42528902149662
