lemma,collocate,LogL,LR,MI,LogDice
nihil,habeo,65.5,2.77045810140167,2.31113649331129,10.5733235330369
nihil,sum,51.35,1.18406522614501,1.23038771336423,9.96290298214957
nihil,alius,50.42,2.92298948339062,2.41374514836097,10.4643247041093
nihil,ago,32.62,2.82307119522917,2.34656554812856,10.2173266665997
nihil,enim,28.7,2.1638925870761,1.90035581793238,10.1509167943457
nihil,umquam,24.75,3.58394340539432,2.85401197485807,9.89839022678649
nihil,refert,23.89,5.88772415357142,4.27712030910068,9.36891843222741
nihil,possum,23.15,1.69872328585902,1.58305634997321,10.0172079236836
nihil,prosum,18.7,4.10112779168062,3.19193104076471,9.52836120663643
nihil,ample,16.44,4.39587105724175,3.38103228454404,9.33420519219547
nihil,timeo,16.3,2.95361208922788,2.43430566907234,9.70954055885161
nihil,tam,15.14,2.23810869450801,1.95081868948932,9.8156623992512
nihil,praeter,15.09,3.52315172127557,2.81386490684466,9.49023999881657
nihil,opusculum,14.72,4.05483413940668,3.16197871848136,9.32018627101614
nihil,malum,14.34,3.00508110420958,2.46883153792141,9.59328075273575
nihil,sane,14.23,3.95698681600854,3.09846531275903,9.3155566331174
nihil,ego,12.9,1.13036501290571,1.19351283422988,9.75973962982836
nihil,inuenio,12.84,3.1543698129576,2.56874244881167,9.45776961378578
nihil,moror,12.62,4.47268665429258,3.42982244871347,9.06313085614335
nihil,profecto,11.77,3.46145939886933,2.7730429123244,9.28709711420903
nihil,pertineo,11.69,3.4447806577227,2.76199307613782,9.28597540909983
nihil,dico,11.4,1.42113781585218,1.39301816421811,9.75508257929853
nihil,satis2,11.29,3.36416219751441,2.70850439118683,9.28038567962104
nihil,adhuc,11.07,3.31786854524048,2.67773273252008,9.27704677835553
nihil,cogito,10.79,2.8087728121766,2.33694083475435,9.4201476219962
nihil,pro,10.64,2.2438679637967,1.95473258881045,9.58460767148232
nihil,rogo,10.5,3.20122362638821,2.60002374819276,9.26819716307854
nihil,quia,9.35,2.55860055727986,2.1681199651793,9.38785420027548
nihil,si,9.3,1.14554770315751,1.20393978368228,9.6811093616896
nihil,scio,7.64,2.0091622810214,1.79499530227455,9.42873136568759
