lemma,collocate,LogL,LR,MI,LogDice
omnis,boni,77.92,4.69343319815105,3.50813271425037,9.93525590755419
omnis,copia,55.42,3.37052733633986,2.74236289415289,9.99085028384113
omnis,gens,49.84,3.8373084107127,3.02522568016872,9.74014099930033
omnis,ex,45.14,1.66440911996403,1.63814669758841,10.4593364901935
omnis,res,43.74,1.38344200716409,1.44979134461062,10.525170950075
omnis,que,24.33,0.908404435512029,1.12892840203431,10.4059374263299
omnis,saeculum,23.96,4.40615124607058,3.35212846577379,8.85931157765555
omnis,uicus,18.78,4.20451738490093,3.23879978046678,8.67796610683465
omnis,per,18.75,1.63356174217365,1.61752741038568,9.86865024178434
omnis,scelus,16.92,2.28062036398672,2.04625567196447,9.38442953939412
omnis,Gallia,15.45,2.44679323056792,2.15484464959865,9.20835024706929
omnis,ut,15.34,0.810024675956656,1.06216506515417,10.2669820232319
omnis,natio,14.79,3.10847069742989,2.5789385775403,8.8423825155551
omnis,equitatus,14.29,3.03691743640486,2.53381814225983,8.84094470078547
omnis,Belgae,14.13,4.01383382329182,3.12898491445958,8.45628847320293
omnis,circum,14.13,4.01383382329182,3.12898491445958,8.45628847320293
omnis,ciuis,13.91,1.82118874534942,1.74269055333969,9.4980558571411
omnis,molestia,13.81,3.94671962743328,3.08976420130629,8.45579959516826
omnis,fere,13.67,2.94671962743328,2.47665972841989,8.83903082460319
omnis,mortalis,13.65,3.33576191817918,2.72085668893193,8.66873153331228
omnis,sermo,13.29,2.39492399064732,2.1210269940596,9.09611507585062
omnis,iste,13.01,1.31868840482024,1.40621831671847,9.81649689669635
omnis,ante,13,2.36175712671212,2.09936549727842,9.09472522156157
omnis,oculus,13,2.36175712671212,2.09936549727842,9.09472522156157
omnis,uoluptas,12.91,2.35086881056939,2.09224802950955,9.0942623657329
omnis,pars,12.73,1.65126374390711,1.62936186803268,9.54399295232813
omnis,cum,12.57,0.74069065230572,1.01505719670857,10.2250233293038
omnis,unus,12.57,1.41368491875599,1.47012211869795,9.71603036975698
omnis,animal,12.53,3.14311684023678,2.60071237708986,8.66583298055827
omnis,malum,12.45,2.13313275166416,1.94930480270268,9.19279641109382
